section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why,raw_canonical,family_canonical_3v,winner_literal_midday,winner_literal_evening,is_exact_boxed,is_exact_straight,is_vtrac_boxed
Evening,Set1,Draw5,3,577,straight,17.0,R6,False,False,False,False,False,False,False,False,False,0,1,0,3,775,1,10,False,2,3,0,0.0,3,0,0,0,0,0.0,0,0.0,2,0,6,1,7,1,True,straight|cov1|hp_repeat3|double_mirror|vtrac_straight|draw_chain7,577,022,202,968,False,False,True
Combined,Set1,Draw1,4,1399,straight,16.5,"R6,R8",False,True,False,False,False,False,False,False,False,1,1,0,4,1993,2,24,True,4,4,0,0.0,5,0,0,1,0,0.0,1,0.5,0,0,1,1,2,0,False,straight|cov2|hp_repeat4|vstr2|hot1|hidden3v|draw_chain2,1399,689,202,968,False,False,True
Midday,Set1,Draw1,5,3346,boxed,16.5,"R2,R4",False,False,False,False,False,False,False,False,False,1,2,0,4,4336,1,24,True,4,4,1,0.0,1,0,0,1,0,0.0,1,0.5,0,0,4,1,5,0,False,boxed|cov2|hp_repeat4|hot1|perm2|hidden3v|draw_chain5,3346,689,202,968,False,False,True
Midday,Set1,Draw1,4,3346,boxed,16.5,"R2,R4",False,False,False,False,False,False,False,False,False,1,2,0,4,4336,1,24,True,4,4,1,0.0,1,0,0,1,0,0.0,1,0.5,0,0,4,1,5,0,False,boxed|cov2|hp_repeat4|hot1|perm2|hidden3v|draw_chain5,3346,689,202,968,False,False,True
Midday,Set1,Draw2,5,33466,boxed,16.5,"R4,R8",False,False,False,False,False,False,False,False,False,0,2,0,4,66334,1,24,True,4,4,1,0.0,1,0,0,0,0,0.0,2,0.5,0,0,4,1,5,0,False,boxed|cov2|hp_repeat4|perm2|hidden3v|draw_chain5,33466,689,202,968,False,False,True
Midday,Set1,Draw2,2,346,straight,16.5,R4,False,False,False,False,False,False,False,False,False,2,1,0,2,634,1,24,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain6,346,689,202,968,False,False,True
Midday,Set1,Draw3,2,346,straight,16.5,R4,False,False,False,False,False,False,False,False,False,2,1,0,2,634,1,24,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain6,346,689,202,968,False,False,True
Midday,Set1,Draw4,2,346,straight,16.5,R4,False,False,False,False,False,False,False,False,False,2,1,0,2,634,1,24,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain6,346,689,202,968,False,False,True
Midday,Set1,Draw4,2,34669,straight,16.5,R8,True,False,False,False,False,False,False,False,False,2,1,0,2,93664,1,24,True,2,2,0,0.0,3,0,0,2,1,0.0,2,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3,34669,689,202,968,False,False,True
Midday,Set1,Draw4,1,3669,straight,16.5,R8,False,False,False,False,False,False,False,False,False,2,1,0,2,9366,1,24,True,2,2,0,0.0,3,0,0,4,0,0.0,1,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3,3669,689,202,968,False,False,True
Midday,Set1,Draw5,2,346,straight,16.5,R4,False,False,False,False,False,False,False,False,False,2,1,0,2,634,1,24,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,5,1,6,0,False,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain6,346,689,202,968,False,False,True
