section,set_name,draw_name,column_index,triad,vt_triad,vertical_support,horizontal_span,set_span,variant_echo,has_straight,has_vt_straight,vt_only_lane,col1_arrival,precol1_funnel,ls_col_42,ls2_lane,is_starred,star_count,is_superhot_slot,is_set1,guard_injected,score,reasons
Combined,Set1,Draw1,3,079,135,4,7,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.9,hot20|vertical4|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw2,3,226,23,4,5,3,3,1,1,0,0,1,0,1,1,16,0,1,0,28.9,hot16|literal_draw|vertical4|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,1,088,14,2,7,1,3,1,0,0,1,0,0,1,1,20,1,1,0,28.9,hot20|superhot_set1|vertical2|col1|ls2_lane|straight_lane|set1_bonus
Evening,Set1,Draw1,1,007,13,2,7,3,3,1,0,0,1,0,0,1,1,20,1,1,0,28.9,hot20|superhot_set1|vertical2|col1|ls2_lane|straight_lane|set1_bonus
Combined,Set1,Draw1,1,079,135,2,7,3,3,1,0,0,1,0,0,1,1,20,1,1,0,28.9,hot20|superhot_set1|vertical2|col1|ls2_lane|straight_lane|set1_bonus
Evening,Set1,Draw1,1,037,134,2,7,3,3,1,0,0,1,0,0,1,1,20,1,1,0,28.9,hot20|superhot_set1|vertical2|col1|ls2_lane|straight_lane|set1_bonus
Midday,Set1,Draw1,2,158,124,1,6,3,3,0,1,1,0,1,1,0,1,20,1,1,0,28.85,hot20|superhot_set1|vertical1|funnel_precol1|ls_col_42|vt_straight|vt_only_lane|set1_bonus
Midday,Set1,Draw1,2,188,24,1,7,3,3,0,1,1,0,1,1,0,1,20,1,1,0,28.85,hot20|superhot_set1|vertical1|funnel_precol1|ls_col_42|vt_straight|vt_only_lane|set1_bonus
Midday,Set1,Draw1,2,588,14,1,6,3,3,0,1,1,0,1,1,0,1,20,1,1,0,28.85,hot20|superhot_set1|vertical1|funnel_precol1|ls_col_42|vt_straight|vt_only_lane|set1_bonus
Combined,Set1,Draw1,2,889,45,1,7,2,3,1,0,0,0,1,1,0,1,20,1,1,1,28.8,hot20|superhot_set1|guard_set1|vertical1|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Evening,Set1,Draw1,4,666,2,1,1,3,2,1,1,0,0,0,1,0,1,20,0,1,0,28.8,hot20|literal_draw|vertical1|ls_col_42|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,2,088,14,2,7,1,3,1,0,0,0,1,1,0,1,20,1,1,0,28.4,hot20|superhot_set1|vertical2|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Evening,Set1,Draw1,2,007,13,2,7,3,3,1,0,0,0,1,1,0,1,20,1,1,0,28.4,hot20|superhot_set1|vertical2|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Combined,Set1,Draw1,2,079,135,2,7,3,3,1,0,0,0,1,1,0,1,20,1,1,0,28.4,hot20|superhot_set1|vertical2|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Evening,Set1,Draw1,2,037,134,2,7,3,3,1,0,0,0,1,1,0,1,20,1,1,0,28.4,hot20|superhot_set1|vertical2|funnel_precol1|ls_col_42|straight_lane|set1_bonus
Midday,Set1,Draw1,3,336,24,3,7,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,078,134,3,7,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,788,34,3,7,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,039,145,3,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,089,145,3,7,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,348,445,3,5,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,388,44,3,5,2,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,349,455,3,6,3,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,3,889,45,3,7,2,3,1,1,0,0,1,0,1,1,20,0,1,0,28.3,hot20|vertical3|funnel_precol1|ls2_lane|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,1,078,134,1,7,3,3,1,0,0,1,0,0,1,1,20,1,1,0,28.3,hot20|superhot_set1|vertical1|col1|ls2_lane|straight_lane|set1_bonus
Combined,Set1,Draw1,1,889,45,1,7,2,3,1,0,0,1,0,0,1,1,20,1,1,0,28.3,hot20|superhot_set1|vertical1|col1|ls2_lane|straight_lane|set1_bonus
Midday,Set1,Draw1,5,789,345,1,4,3,3,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
Evening,Set1,Draw1,5,134,245,1,4,3,3,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
Combined,Set1,Draw1,6,015,112,1,2,3,3,1,1,0,0,0,0,0,1,20,0,1,0,28.3,hot20|literal_draw|vertical1|vt_straight|straight_lane|set1_bonus
