section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw2,2,4457,boxed,17.5,"R2,R4,R6,R8",False,True,False,False,False,False,False,False,False,2,3,0,1,5447,2,12.0,True,8,1,2,0.0,3,0,0,2,0,0.0,1,0.5,0,0,0,1,1,0,False,boxed|cov4|vstr2|hot2|perm3|hidden3v
Evening,Set1,Draw2,4,448,straight,17.5,"R4,R8",False,True,False,False,False,False,False,False,False,1,1,0,4,844,2,34.0,True,4,4,0,0.0,5,0,0,1,0,0.0,0,0.5,0,0,2,1,3,1,True,straight|cov2|hp_repeat4|vstr2|hot1|hidden3v|double_mirror|draw_chain3
Evening,Set1,Draw3,3,044,straight,17.5,R2,False,False,False,False,False,False,False,False,False,1,1,0,4,440,1,15.0,True,2,4,0,0.0,3,0,0,1,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov1|hp_repeat4|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw3,4,448,straight,17.5,"R4,R8",False,True,False,False,False,False,False,False,False,0,1,0,5,844,2,34.0,True,4,5,0,0.0,5,0,0,0,0,0.0,0,0.5,0,0,2,1,3,1,True,straight|cov2|hp_repeat5|vstr2|hidden3v|double_mirror|draw_chain3
Evening,Set1,Draw3,3,488,straight,17.5,"R4,R8",False,True,False,False,False,False,False,False,False,1,1,0,3,884,2,33.0,True,4,3,0,0.0,5,0,0,1,0,0.0,0,0.5,2,0,1,1,2,1,True,straight|cov2|hp_repeat3|vstr2|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain2
Evening,Set1,Draw3,3,4488,straight,17.5,"R4,R8",False,True,False,False,False,False,False,False,False,1,1,0,3,8844,2,34.0,True,4,3,0,0.0,5,0,0,1,0,0.0,1,0.5,2,0,1,1,2,0,False,straight|cov2|hp_repeat3|vstr2|hot1|hidden3v|vtrac_straight|draw_chain2
Evening,Set1,Draw3,3,447,straight,17.5,R4,False,False,False,False,False,False,False,False,False,1,1,0,4,447,1,31.0,True,2,4,0,0.0,3,0,0,1,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov1|hp_repeat4|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw4,4,249,straight,17.5,"R2,R6",True,True,False,False,False,False,False,False,False,0,1,0,2,924,2,31.0,True,4,2,0,0.0,5,0,0,0,1,0.0,0,0.5,0,2,3,2,4,0,False,straight|cov2|hp_repeat2|vstr2|mirror|hidden3v|set_chain2|draw_chain4
Evening,Set1,Draw4,3,2459,straight,17.5,"R2,R6",True,True,False,False,False,False,False,False,False,0,1,0,2,5924,2,12.0,True,4,2,0,0.0,5,0,0,0,1,0.0,1,0.5,2,2,0,2,1,0,False,straight|cov2|hp_repeat2|vstr2|mirror|hidden3v|vtrac_straight|set_chain2
Evening,Set1,Draw4,2,4459,straight,17.5,"R2,R6",True,True,False,False,False,False,False,False,False,2,1,0,2,5944,2,15.0,True,4,2,0,0.0,5,0,0,2,1,0.0,1,0.5,2,0,0,1,1,0,False,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight
Evening,Set1,Draw4,2,044,straight,17.5,R2,False,False,False,False,False,False,False,False,False,2,1,0,3,440,1,15.0,True,2,3,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw4,2,447,straight,17.5,R4,False,False,False,False,False,False,False,False,False,2,1,0,3,447,1,31.0,True,2,3,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,4,1,5,1,True,straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain5
Evening,Set1,Draw4,3,445,straight,17.5,R8,False,False,False,False,False,False,False,False,False,0,1,0,4,445,1,15.0,True,2,4,0,0.0,3,0,0,0,0,0.0,0,0.5,2,0,5,1,6,1,True,straight|cov1|hp_repeat4|hidden3v|double_mirror|vtrac_straight|draw_chain6
Evening,Set1,Draw5,3,339,straight,17.5,R6,False,False,False,False,False,False,False,False,False,0,1,0,3,933,1,33.0,True,2,3,0,0.0,3,0,0,0,0,0.0,0,0.5,2,4,2,3,3,1,True,straight|cov1|hp_repeat3|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain3
Evening,Set1,Draw5,1,399,straight,17.5,R6,False,False,False,False,False,False,False,False,False,2,1,0,3,993,1,34.0,True,2,3,0,0.0,3,0,0,4,0,0.0,0,0.5,2,0,2,1,3,1,True,straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain3
Evening,Set1,Draw5,1,3399,straight,17.5,R6,False,False,False,False,False,False,False,False,False,2,1,0,3,9933,1,33.0,True,2,3,0,0.0,3,0,0,4,0,0.0,1,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3
Evening,Set1,Draw5,2,3389,straight,17.5,R8,True,False,False,False,False,False,False,False,False,2,1,0,2,9833,1,33.0,True,2,2,0,0.0,3,0,0,2,1,0.0,1,0.5,2,2,2,2,3,0,False,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain3
Evening,Set1,Draw6,1,244599,straight,17.5,R2,True,False,False,False,False,False,False,False,False,1,1,0,2,599244,1,12.0,True,2,2,0,0.0,3,0,0,2,1,0.0,3,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight|draw_chain3
Evening,Set1,Draw6,1,249,straight,17.5,R2,True,False,False,False,False,False,False,False,False,1,1,0,2,924,1,31.0,True,2,2,0,0.0,3,0,0,2,1,0.0,0,0.5,2,2,3,2,4,0,False,straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight|set_chain2|draw_chain4
Evening,Set1,Draw6,1,259,straight,17.5,R4,False,False,False,False,False,False,False,False,False,1,1,0,2,259,1,12.0,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,4,2,3,3,0,False,straight|cov1|hp_repeat2|hot1|hidden3v|vtrac_straight|set_chain3|draw_chain3
Evening,Set1,Draw6,1,3389,straight,17.5,R8,True,False,False,False,False,False,False,False,False,1,1,0,2,9833,1,33.0,True,2,2,0,0.0,3,0,0,2,1,0.0,1,0.5,2,2,2,2,3,0,False,straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight|set_chain2|draw_chain3
Evening,Set1,Draw6,1,336,straight,17.5,R8,False,False,False,False,False,False,False,False,False,1,1,0,2,336,1,23.0,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,4,1,3,2,1,True,straight|cov1|hp_repeat2|hot1|hidden3v|double_mirror|vtrac_straight|set_chain3|draw_chain2
Evening,Set1,Draw6,1,445,straight,17.5,R8,False,False,False,False,False,False,False,False,False,1,1,0,2,445,1,15.0,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,5,1,6,1,True,straight|cov1|hp_repeat2|hot1|hidden3v|double_mirror|vtrac_straight|draw_chain6
Evening,Set1,Draw7,1,338,boxed,17.5,"R2,R4,R8",True,True,False,False,False,False,False,False,False,0,2,0,1,833,2,32.0,True,6,1,1,0.0,3,0,0,0,1,0.0,0,0.5,0,2,2,2,3,1,True,boxed|cov3|vstr2|mirror|perm2|hidden3v|double_mirror|set_chain2|draw_chain3
Midday,Set3,Draw1,6,667,straight,17.5,"R2,R6",False,True,False,False,False,False,False,False,False,0,1,0,3,667,2,17.0,True,4,3,0,0.0,5,0,0,0,0,0.0,0,0.5,0,4,0,3,1,1,True,straight|cov2|hp_repeat3|vstr2|hidden3v|double_mirror|set_chain3
Midday,Set3,Draw1,6,6677,straight,17.5,"R2,R6",False,True,False,False,False,False,False,False,False,0,1,0,3,6677,2,17.0,True,4,3,0,0.0,5,0,0,0,0,0.0,1,0.5,0,4,0,3,1,0,False,straight|cov2|hp_repeat3|vstr2|hidden3v|set_chain3
Midday,Set3,Draw1,5,667,straight,17.5,"R2,R6",False,True,False,False,False,False,False,False,False,0,1,0,3,667,2,17.0,True,4,3,0,0.0,5,0,0,0,0,0.0,0,0.5,0,4,0,3,1,1,True,straight|cov2|hp_repeat3|vstr2|hidden3v|double_mirror|set_chain3
Midday,Set3,Draw1,5,6677,straight,17.5,"R2,R6",False,True,False,False,False,False,False,False,False,0,1,0,3,6677,2,17.0,True,4,3,0,0.0,5,0,0,0,0,0.0,1,0.5,0,4,0,3,1,0,False,straight|cov2|hp_repeat3|vstr2|hidden3v|set_chain3
Midday,Set3,Draw1,4,4679,boxed,17.5,"R2,R4,R8",True,False,False,False,False,False,False,False,False,1,3,0,1,9467,1,22.0,True,6,1,2,0.0,1,0,0,1,1,0.0,1,0.5,0,4,0,3,1,0,False,boxed|cov3|mirror|hot1|perm3|hidden3v|set_chain3
Midday,Set2,Draw1,4,259,boxed,17.5,"R2,R4,R6",False,True,False,False,False,False,False,False,False,1,2,0,4,592,2,12.0,True,6,4,1,0.0,3,0,0,1,0,0.0,0,0.5,0,2,0,2,1,0,False,boxed|cov3|hp_repeat4|vstr2|hot1|perm2|hidden3v|set_chain2
