section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Midday,Set1,Draw5,1,03349,straight,16.0,R6,True,False,False,False,False,False,False,False,False,2,1,0,1,09334,1,14,False,2,1,0,0.0,3,0,0,4,1,0.0,2,0.0,2,0,1,1,2,0,False,straight|cov1|mirror|hot2|vtrac_straight|draw_chain2
Midday,Set1,Draw6,2,01133688,straight,16.0,R2,True,False,False,False,False,False,False,False,False,0,1,0,2,01133886,1,8,False,2,2,0,0.0,3,0,0,0,1,0.0,5,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat2|mirror|vtrac_straight|draw_chain2
Midday,Set1,Draw6,1,011338,straight,16.0,R2,True,False,False,False,False,False,False,False,False,1,1,0,2,011338,1,8,False,2,2,0,0.0,3,0,0,2,1,0.0,3,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat2|mirror|hot1|vtrac_straight|draw_chain2
Midday,Set1,Draw6,2,0668,straight,16.0,R4,False,False,False,False,False,False,False,False,False,0,1,0,2,0668,1,8,False,2,2,0,0.0,3,0,0,0,0,0.0,1,0.0,2,4,2,3,3,0,False,straight|cov1|hp_repeat2|vtrac_straight|set_chain3|draw_chain3
Midday,Set1,Draw6,1,036688,straight,16.0,R4,True,False,False,False,False,False,False,False,False,1,1,0,2,066883,1,8,False,2,2,0,0.0,3,0,0,2,1,0.0,3,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat2|mirror|hot1|vtrac_straight|draw_chain2
Midday,Set1,Draw6,2,234,straight,16.0,R6,False,False,False,False,False,False,False,False,False,0,1,0,1,324,1,30,False,2,1,0,0.0,3,0,0,0,0,0.0,0,0.0,2,2,6,2,7,0,False,straight|cov1|vtrac_straight|set_chain2|draw_chain7
Midday,Set1,Draw6,1,011688,straight,16.0,R6,True,False,False,False,False,False,False,False,False,1,1,0,2,688110,1,8,False,2,2,0,0.0,3,0,0,2,1,0.0,3,0.0,2,0,1,1,2,0,False,straight|cov1|hp_repeat2|mirror|hot1|vtrac_straight|draw_chain2
Midday,Set1,Draw7,1,234,straight,16.0,R6,False,False,False,False,False,False,False,False,False,0,1,0,1,324,1,30,False,2,1,0,0.0,3,0,0,0,0,0.0,0,0.0,2,2,6,2,7,0,False,straight|cov1|vtrac_straight|set_chain2|draw_chain7
Evening,Set3,Draw1,3,1149,straight,16.0,"R2,R4",True,True,False,False,False,False,False,False,False,1,1,0,2,9411,2,19,False,4,2,0,0.0,5,0,0,1,1,0.0,1,0.0,2,0,0,1,1,0,False,straight|cov2|hp_repeat2|vstr2|mirror|hot1|vtrac_straight
Evening,Set2,Draw1,7,114,straight,16.0,R2,False,False,False,False,False,False,False,False,False,0,1,0,6,411,1,19,False,2,6,0,0.0,3,0,0,0,0,0.0,0,0.0,0,4,0,3,1,1,True,straight|cov1|hp_repeat6|double_mirror|set_chain3
Evening,Set2,Draw1,6,1144,straight,16.0,"R2,R4",False,True,False,False,False,False,False,False,False,0,1,0,2,4411,2,19,False,4,2,0,0.0,5,0,0,0,0,0.0,1,0.0,0,4,0,3,1,0,False,straight|cov2|hp_repeat2|vstr2|set_chain3
