section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,funnel_precol1,vt_only_lane,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Midday,133468,24.0,24.0,17.5,1,1,0,False,0,2,1,0,0,2,0,2,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx2
Midday,0168,8.0,24.0,17.0,1,1,0,False,0,2,1,0,0,3,0,4,straight|cov1|hp_repeat4|mirror|hot2|vtrac_straight;straight|cov1|hp_repeat4|mirror|hot2|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx3
Midday,0244,12.0,24.0,16.0,1,4,0,True,3,0,0,0,0,4,0,10,straight|cov1|hp_repeat4|hot1|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot1|vtrac_straight|draw_chain4,draw_chain4|hot1x3|vstrx4
Midday,2339,30.0,24.0,16.0,1,5,0,False,1,0,2,0,0,5,0,7,straight|cov1|hp_repeat2|hot1|vtrac_straight|draw_chain5;straight|cov1|hp_repeat2|vtrac_straight|draw_chain5,draw_chain5|col1x2|hot1x1|vstrx5
Midday,0688,8.0,24.0,15.0,1,3,0,False,1,1,3,0,0,3,0,3,straight|cov1|hot2|vtrac_straight|draw_chain3;straight|cov1|hot1|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x1|vstrx3
Midday,466,19.0,24.0,14.5,2,2,0,False,0,2,0,0,0,2,3,3,straight|cov1|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain2;straight|cov1|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2|draw_chain2,set_chain2|draw_chain2|hot2x2|vstrx2|dblmirrorx3
Midday,3366,23.0,23.5,15.5,1,3,0,False,0,2,0,0,0,5,0,6,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|hot2x2|vstrx5
Midday,13366889,24.0,23.0,18.5,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,01149,9.0,23.0,16.5,1,1,0,False,0,2,1,0,0,2,0,2,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx2
Midday,0133,8.0,23.0,16.0,1,1,0,False,0,2,1,0,0,3,0,4,straight|cov1|hp_repeat4|hot2|vtrac_straight;straight|cov1|hp_repeat4|hot2|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx3
Midday,2344,30.0,23.0,15.0,1,4,0,True,3,0,0,0,0,4,0,9,straight|cov1|hp_repeat3|hot1|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot1|vtrac_straight|draw_chain4,draw_chain4|hot1x3|vstrx4
Midday,2446,22.0,23.0,15.0,1,4,0,True,3,0,0,0,0,4,0,9,straight|cov1|hp_repeat3|hot1|vtrac_straight|draw_chain4;straight|cov1|hp_repeat3|hot1|vtrac_straight|draw_chain4,draw_chain4|hot1x3|vstrx4
Midday,13346889,24.0,22.5,18.5,1,1,0,False,0,1,1,0,0,1,0,1,straight|cov1|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x1|vstrx1
Midday,11336688,18.0,22.5,18.0,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,334668,24.0,22.5,16.5,1,2,0,False,0,2,0,0,0,2,0,4,boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|draw_chain2;straight|cov1|hp_repeat3|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x2|vstrx2
Midday,23368,21.0,22.5,15.5,1,3,0,False,2,0,2,0,0,3,0,5,straight|cov1|hp_repeat3|mirror|hot1|hidden3v|vtrac_straight|draw_chain2;straight|cov1|mirror|hot1|hidden3v|vtrac_straight|draw_chain2,draw_chain3|col1x2|hot1x2|vstrx3
Midday,0669,9.0,22.5,14.5,1,3,0,False,0,2,0,0,0,5,0,5,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|hot2x2|vstrx5
Midday,1336688,23.0,22.0,17.5,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,3366889,24.0,22.0,17.5,1,2,0,False,0,1,0,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Midday,2244,28.0,21.5,21.0,1,1,0,False,0,0,0,0,0,0,0,1,straight|cov3|vstr2|vstr3|single_left,draw_chain1
Midday,336688,23.0,21.5,18.5,1,2,0,False,0,1,0,0,0,0,0,3,boxed|cov3|hp_repeat2|mirror|hot2|perm3|hidden3v|draw_chain2;boxed|cov3|hp_repeat2|mirror|perm3|hidden3v|draw_chain2,draw_chain2|hot2x1
Midday,1334689,24.0,21.5,17.5,1,1,0,False,0,1,1,0,0,1,0,1,straight|cov1|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x1|vstrx1
