State,StateKey,Variant,Draws Since Double,Family 1,Family 2,Family 3,Family 4,Family 5,Winner Midday,Winner Evening,Midday Winner In Family,Evening Winner In Family
Ontario,OntarioCanada4,Midday,3,0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 559(BE:796) 044(BE:694),2/7-4/9: 244(RC:1000) 244(RM:1000) 244(RE:1000) 477(BE:785) 477(BC:705),1/6-4/9: 144(RC:1000) 466(BM:831) 199(BE:827) 446(BM:739) 669(BC:692),2/7-3/8: 778(RC:1000) 778(RE:1000) 228(BM:995),0/5-2/7: 255(RC:1000) 255(BM:945) 007(BC:682),053,816,False,False
Connecticut,Connecticut4,Evening,3,0/5-4/9: 099(RC:1000) 044(BE:898) 099(BM:792) 445(BC:769) 559(BM:725) 445(BE:690) 004(BM:684),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:879) 677(BE:774) 112(BE:721),0/5-3/8: 355(RC:1000) 088(RE:1000) 355(BE:687),2/7-3/8: 223(RE:1000) 228(RE:1000) 288(BC:855),1/6-3/8: 668(BE:903) 133(BE:895) 688(BC:697) 133(BC:693),970,356,False,False
New Jersey,NewJersey4,Evening,3,3/8-4/9: 339(RC:1000) 889(RC:1000) 448(RM:1000) 889(RM:1000) 339(BE:929) 899(BM:920),0/5-1/6: 556(RC:1000) 155(RE:1000) 556(BE:861) 155(BC:859),0/5-2/7: 022(RC:1000) 022(RM:1000) 022(BE:746),0/5-3/8: 335(BC:873) 335(BE:827) 558(BE:807) 088(BE:804) 008(BE:670),1/6-4/9: 114(RC:1000) 114(RM:1000),633,331,False,False
Delaware,Delaware4,Combined,2,2/7-3/8: 223(RC:1000) 778(RC:1000) 288(RM:1000) 228(RE:1000) 778(BM:948) 288(BC:832) 778(BE:751) 377(BC:714),0/5-3/8: 088(RE:1000) 355(RE:1000) 033(BC:892) 088(BC:795) 033(BM:784),0/5-4/9: 009(RC:1000) 455(RC:1000) 455(RE:1000) 004(BE:704),0/5-1/6: 566(RE:1000) 066(BM:798) 155(BM:785) 006(BE:772) 155(BC:766),2/7-4/9: 244(RM:1000) 447(BC:959) 229(BE:949),126,076,False,False
Florida,Florida4,Combined,2,0/5-3/8: 588(RC:1000) 003(RM:1000) 008(RM:1000) 335(BC:698),3/8-4/9: 889(RC:1000) 488(RM:1000) 889(BE:921) 339(BM:871) 448(BE:782),0/5-4/9: 009(RC:1000) 455(RC:1000) 009(BE:772) 455(BM:737),0/5-1/6: 011(RM:1000) 566(RE:1000) 155(BC:687),0/5-2/7: 077(RC:1000) 557(BM:984) 022(BE:850) 077(BE:815),862,589,False,False
Michigan,Michigan4,Combined,2,1/6-2/7: 112(RC:1000) 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:969) 667(BM:866),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 066(BC:969) 556(BC:917) 566(BM:752),2/7-3/8: 228(RC:1000) 788(RC:1000) 788(RM:1000) 228(BE:757) 288(BE:711),1/6-4/9: 119(RM:1000) 199(RM:1000) 144(BC:905) 114(BM:805) 144(BE:766),0/5-2/7: 225(RC:1000) 077(BC:922) 557(BE:802) 225(BM:695),975,523,False,False
South Carolina,SouthCarolina4,Combined,2,0/5-1/6: 115(RC:1000) 155(RC:1000) 556(RC:1000) 155(RM:1000) 115(RE:1000) 556(RE:1000) 155(BE:834) 556(BM:710),2/7-3/8: 288(RC:1000) 778(RM:1000) 288(RE:1000) 233(BC:998) 778(BC:852) 337(BM:826) 228(BM:808) 377(BC:685),0/5-3/8: 558(RE:1000) 003(BM:817) 033(BC:783) 335(BE:695),1/6-3/8: 366(BC:970) 366(BE:773) 688(BC:738) 688(BE:732) 336(BE:723),2/7-4/9: 224(RM:1000) 477(RE:1000),308,084,False,False
Virginia,Virginia4,Combined,2,1/6-4/9: 699(RC:1000) 199(RM:1000) 699(RE:1000) 699(BM:842) 119(BC:804) 446(BM:706),2/7-3/8: 377(RC:1000) 778(RC:1000) 778(RE:1000) 223(BM:927) 377(BM:912) 778(BM:679),0/5-4/9: 445(RC:1000) 599(RC:1000) 004(RM:1000) 445(BE:745),1/6-2/7: 177(RM:1000) 667(RM:1000) 677(BM:897) 677(BC:884) 122(BE:808),2/7-4/9: 447(RC:1000) 477(RM:1000) 244(BE:805) 799(BE:692) 447(BE:691),184,765,False,False
Florida,Florida4,Midday,2,0/5-3/8: 588(RC:1000) 003(RM:1000) 008(RM:1000) 335(BC:698),3/8-4/9: 889(RC:1000) 488(RM:1000) 889(BE:921) 339(BM:871) 448(BE:782),0/5-4/9: 009(RC:1000) 455(RC:1000) 009(BE:772) 455(BM:737),0/5-1/6: 011(RM:1000) 566(RE:1000) 155(BC:687),0/5-2/7: 077(RC:1000) 557(BM:984) 022(BE:850) 077(BE:815),862,589,False,False
North Carolina,NorthCarolina4,Midday,2,0/5-4/9: 009(RC:1000) 044(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 445(BC:812),3/8-4/9: 344(RE:1000) 488(BM:776) 334(BE:768) 899(BE:758),0/5-1/6: 001(RC:1000) 155(BC:876) 155(BM:782),0/5-2/7: 225(RE:1000) 557(BE:771) 007(BM:731),1/6-3/8: 668(RE:1000) 188(BE:772) 133(BE:749),033,383,False,False
Ohio,Ohio4,Midday,2,1/6-4/9: 114(RC:1000) 466(RM:1000) 669(RM:1000) 114(RE:1000) 446(RE:1000) 699(BM:934) 699(BC:896) 119(BM:748),1/6-3/8: 668(RC:1000) 118(RM:1000) 113(RE:1000) 688(BM:972) 188(BE:797) 188(BC:683),0/5-4/9: 559(RC:1000) 009(RM:1000) 559(BE:994) 455(BE:796) 599(BC:713),2/7-4/9: 224(RC:1000) 229(RC:1000) 224(BE:939) 224(BM:891),0/5-1/6: 066(RC:1000) 066(RM:1000) 556(BM:995),747,133,False,False
Connecticut,Connecticut4,Combined,1,0/5-4/9: 099(RC:1000) 044(BE:898) 099(BM:792) 445(BC:769) 559(BM:725) 445(BE:690) 004(BM:684),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:879) 677(BE:774) 112(BE:721),0/5-3/8: 355(RC:1000) 088(RE:1000) 355(BE:687),2/7-3/8: 223(RE:1000) 228(RE:1000) 288(BC:855),1/6-3/8: 668(BE:903) 133(BE:895) 688(BC:697) 133(BC:693),970,356,False,False
New Jersey,NewJersey4,Combined,1,3/8-4/9: 339(RC:1000) 889(RC:1000) 448(RM:1000) 889(RM:1000) 339(BE:929) 899(BM:920),0/5-1/6: 556(RC:1000) 155(RE:1000) 556(BE:861) 155(BC:859),0/5-2/7: 022(RC:1000) 022(RM:1000) 022(BE:746),0/5-3/8: 335(BC:873) 335(BE:827) 558(BE:807) 088(BE:804) 008(BE:670),1/6-4/9: 114(RC:1000) 114(RM:1000),633,331,False,False
New York,NewYork4,Combined,1,0/5-1/6: 001(RC:1000) 011(RM:1000) 066(RM:1000) 001(BM:996) 566(BE:975) 115(BC:843) 001(BE:794),2/7-3/8: 337(RC:1000) 788(RE:1000) 337(BM:829) 223(BM:724),2/7-4/9: 244(RM:1000) 447(RE:1000) 244(BC:982),0/5-2/7: 007(RE:1000) 577(BC:695),0/5-4/9: 599(RE:1000) 044(BM:800),998,256,False,False
Pennsylvania,Pennsylvania4,Combined,1,3/8-4/9: 448(RC:1000) 448(RE:1000) 399(BM:774) 344(BE:767) 448(BM:751) 339(BE:699) 344(BC:691),0/5-2/7: 255(RC:1000) 007(RE:1000) 255(BM:935) 255(BE:889) 007(BC:879),0/5-1/6: 556(RM:1000) 066(BC:996) 066(BM:740) 155(BE:688),2/7: 277(RC:1000) 277(RM:1000) 277(BE:703),2/7-3/8: 228(RC:1000) 788(RE:1000) 288(BM:964),871,360,False,False
Virginia,Virginia4,Midday,1,1/6-4/9: 699(RC:1000) 199(RM:1000) 699(RE:1000) 699(BM:842) 119(BC:804) 446(BM:706),2/7-3/8: 377(RC:1000) 778(RC:1000) 778(RE:1000) 223(BM:927) 377(BM:912) 778(BM:679),0/5-4/9: 445(RC:1000) 599(RC:1000) 004(RM:1000) 445(BE:745),1/6-2/7: 177(RM:1000) 667(RM:1000) 677(BM:897) 677(BC:884) 122(BE:808),2/7-4/9: 447(RC:1000) 477(RM:1000) 244(BE:805) 799(BE:692) 447(BE:691),184,765,False,False
Delaware,Delaware4,Evening,1,2/7-3/8: 223(RC:1000) 778(RC:1000) 288(RM:1000) 228(RE:1000) 778(BM:948) 288(BC:832) 778(BE:751) 377(BC:714),0/5-3/8: 088(RE:1000) 355(RE:1000) 033(BC:892) 088(BC:795) 033(BM:784),0/5-4/9: 009(RC:1000) 455(RC:1000) 455(RE:1000) 004(BE:704),0/5-1/6: 566(RE:1000) 066(BM:798) 155(BM:785) 006(BE:772) 155(BC:766),2/7-4/9: 244(RM:1000) 447(BC:959) 229(BE:949),126,076,False,False
Florida,Florida4,Evening,1,0/5-3/8: 588(RC:1000) 003(RM:1000) 008(RM:1000) 335(BC:698),3/8-4/9: 889(RC:1000) 488(RM:1000) 889(BE:921) 339(BM:871) 448(BE:782),0/5-4/9: 009(RC:1000) 455(RC:1000) 009(BE:772) 455(BM:737),0/5-1/6: 011(RM:1000) 566(RE:1000) 155(BC:687),0/5-2/7: 077(RC:1000) 557(BM:984) 022(BE:850) 077(BE:815),862,589,False,False
Michigan,Michigan4,Evening,1,1/6-2/7: 112(RC:1000) 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:969) 667(BM:866),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 066(BC:969) 556(BC:917) 566(BM:752),2/7-3/8: 228(RC:1000) 788(RC:1000) 788(RM:1000) 228(BE:757) 288(BE:711),1/6-4/9: 119(RM:1000) 199(RM:1000) 144(BC:905) 114(BM:805) 144(BE:766),0/5-2/7: 225(RC:1000) 077(BC:922) 557(BE:802) 225(BM:695),975,523,False,False
New York,NewYork4,Evening,1,0/5-1/6: 001(RC:1000) 011(RM:1000) 066(RM:1000) 001(BM:996) 566(BE:975) 115(BC:843) 001(BE:794),2/7-3/8: 337(RC:1000) 788(RE:1000) 337(BM:829) 223(BM:724),2/7-4/9: 244(RM:1000) 447(RE:1000) 244(BC:982),0/5-2/7: 007(RE:1000) 577(BC:695),0/5-4/9: 599(RE:1000) 044(BM:800),998,256,False,False
Pennsylvania,Pennsylvania4,Evening,1,3/8-4/9: 448(RC:1000) 448(RE:1000) 399(BM:774) 344(BE:767) 448(BM:751) 339(BE:699) 344(BC:691),0/5-2/7: 255(RC:1000) 007(RE:1000) 255(BM:935) 255(BE:889) 007(BC:879),0/5-1/6: 556(RM:1000) 066(BC:996) 066(BM:740) 155(BE:688),2/7: 277(RC:1000) 277(RM:1000) 277(BE:703),2/7-3/8: 228(RC:1000) 788(RE:1000) 288(BM:964),871,360,False,False
South Carolina,SouthCarolina4,Evening,1,0/5-1/6: 115(RC:1000) 155(RC:1000) 556(RC:1000) 155(RM:1000) 115(RE:1000) 556(RE:1000) 155(BE:834) 556(BM:710),2/7-3/8: 288(RC:1000) 778(RM:1000) 288(RE:1000) 233(BC:998) 778(BC:852) 337(BM:826) 228(BM:808) 377(BC:685),0/5-3/8: 558(RE:1000) 003(BM:817) 033(BC:783) 335(BE:695),1/6-3/8: 366(BC:970) 366(BE:773) 688(BC:738) 688(BE:732) 336(BE:723),2/7-4/9: 224(RM:1000) 477(RE:1000),308,084,False,False
Virginia,Virginia4,Evening,1,1/6-4/9: 699(RC:1000) 199(RM:1000) 699(RE:1000) 699(BM:842) 119(BC:804) 446(BM:706),2/7-3/8: 377(RC:1000) 778(RC:1000) 778(RE:1000) 223(BM:927) 377(BM:912) 778(BM:679),0/5-4/9: 445(RC:1000) 599(RC:1000) 004(RM:1000) 445(BE:745),1/6-2/7: 177(RM:1000) 667(RM:1000) 677(BM:897) 677(BC:884) 122(BE:808),2/7-4/9: 447(RC:1000) 477(RM:1000) 244(BE:805) 799(BE:692) 447(BE:691),184,765,False,False
Indiana,Indiana4,Combined,0,1/6-2/7: 177(RC:1000) 226(RE:1000) 677(BM:916) 117(BE:869) 266(BM:769) 667(BC:757) 177(BM:730),0/5-2/7: 002(RC:1000) 022(RE:1000) 002(BE:801) 007(BC:705) 022(BC:683),0/5-4/9: 559(RC:1000) 559(RM:1000) 559(BE:868) 445(BM:809) 009(BE:790),2/7-4/9: 477(RM:1000) 779(BE:729) 244(BC:726) 779(BC:721) 224(BE:679),2/7: 277(RC:1000) 277(RE:1000) 277(BM:669),974,359,False,False
Connecticut,Connecticut4,Midday,0,0/5-4/9: 099(RC:1000) 044(BE:898) 099(BM:792) 445(BC:769) 559(BM:725) 445(BE:690) 004(BM:684),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:879) 677(BE:774) 112(BE:721),0/5-3/8: 355(RC:1000) 088(RE:1000) 355(BE:687),2/7-3/8: 223(RE:1000) 228(RE:1000) 288(BC:855),1/6-3/8: 668(BE:903) 133(BE:895) 688(BC:697) 133(BC:693),970,356,False,False
Indiana,Indiana4,Midday,0,1/6-2/7: 177(RC:1000) 226(RE:1000) 677(BM:916) 117(BE:869) 266(BM:769) 667(BC:757) 177(BM:730),0/5-2/7: 002(RC:1000) 022(RE:1000) 002(BE:801) 007(BC:705) 022(BC:683),0/5-4/9: 559(RC:1000) 559(RM:1000) 559(BE:868) 445(BM:809) 009(BE:790),2/7-4/9: 477(RM:1000) 779(BE:729) 244(BC:726) 779(BC:721) 224(BE:679),2/7: 277(RC:1000) 277(RE:1000) 277(BM:669),974,359,False,False
New Jersey,NewJersey4,Midday,0,3/8-4/9: 339(RC:1000) 889(RC:1000) 448(RM:1000) 889(RM:1000) 339(BE:929) 899(BM:920),0/5-1/6: 556(RC:1000) 155(RE:1000) 556(BE:861) 155(BC:859),0/5-2/7: 022(RC:1000) 022(RM:1000) 022(BE:746),0/5-3/8: 335(BC:873) 335(BE:827) 558(BE:807) 088(BE:804) 008(BE:670),1/6-4/9: 114(RC:1000) 114(RM:1000),633,331,False,False
New York,NewYork4,Midday,0,0/5-1/6: 001(RC:1000) 011(RM:1000) 066(RM:1000) 001(BM:996) 566(BE:975) 115(BC:843) 001(BE:794),2/7-3/8: 337(RC:1000) 788(RE:1000) 337(BM:829) 223(BM:724),2/7-4/9: 244(RM:1000) 447(RE:1000) 244(BC:982),0/5-2/7: 007(RE:1000) 577(BC:695),0/5-4/9: 599(RE:1000) 044(BM:800),998,256,False,False
Pennsylvania,Pennsylvania4,Midday,0,3/8-4/9: 448(RC:1000) 448(RE:1000) 399(BM:774) 344(BE:767) 448(BM:751) 339(BE:699) 344(BC:691),0/5-2/7: 255(RC:1000) 007(RE:1000) 255(BM:935) 255(BE:889) 007(BC:879),0/5-1/6: 556(RM:1000) 066(BC:996) 066(BM:740) 155(BE:688),2/7: 277(RC:1000) 277(RM:1000) 277(BE:703),2/7-3/8: 228(RC:1000) 788(RE:1000) 288(BM:964),871,360,False,False
Indiana,Indiana4,Evening,0,1/6-2/7: 177(RC:1000) 226(RE:1000) 677(BM:916) 117(BE:869) 266(BM:769) 667(BC:757) 177(BM:730),0/5-2/7: 002(RC:1000) 022(RE:1000) 002(BE:801) 007(BC:705) 022(BC:683),0/5-4/9: 559(RC:1000) 559(RM:1000) 559(BE:868) 445(BM:809) 009(BE:790),2/7-4/9: 477(RM:1000) 779(BE:729) 244(BC:726) 779(BC:721) 224(BE:679),2/7: 277(RC:1000) 277(RE:1000) 277(BM:669),974,359,False,False
