State,StateKey,Variant,Draws Since Double,Family 1,Family 2,Family 3,Family 4,Family 5,Winner Midday,Winner Evening,Midday Winner In Family,Evening Winner In Family
Indiana,Indiana4,Evening,1,1/6-2/7: 177(RC:1000) 226(RE:1000) 677(BM:913) 117(BE:866) 266(BM:766) 667(BC:751) 177(BM:727),0/5-2/7: 002(RC:1000) 022(RE:1000) 002(BE:798) 007(BC:699) 022(BC:677),0/5-4/9: 559(RC:1000) 559(RM:1000) 559(BE:865) 445(BM:806) 009(BE:787),2/7-4/9: 477(RM:1000) 447(BC:734) 779(BE:726) 244(BC:720) 779(BC:715) 224(BE:676),2/7: 277(RC:1000) 277(RE:1000),585,512,False,False
New York,NewYork4,Evening,1,0/5-1/6: 001(RC:1000) 011(RM:1000) 066(RM:1000) 001(BM:993) 566(BE:972) 115(BC:837) 001(BE:791),2/7-3/8: 337(RC:1000) 788(RE:1000) 337(BM:826) 223(BM:721),2/7-4/9: 244(RM:1000) 447(RE:1000) 244(BC:976),0/5-2/7: 007(RE:1000) 577(BC:689),0/5-4/9: 599(RE:1000) 044(BM:797),051,132,False,False
North Carolina,NorthCarolina4,Evening,1,0/5-4/9: 009(RC:1000) 044(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 445(BC:806),3/8-4/9: 344(RE:1000) 488(BM:773) 334(BE:765) 899(BE:755),0/5-1/6: 001(RC:1000) 155(BC:870) 155(BM:779),0/5-2/7: 225(RE:1000) 557(BE:768) 007(BM:728),1/6-3/8: 668(RE:1000) 188(BE:769) 133(BE:746),455,879,False,False
Pennsylvania,Pennsylvania4,Evening,1,3/8-4/9: 448(RC:1000) 448(RE:1000) 399(BM:771) 344(BE:764) 448(BM:748) 339(BE:696) 344(BC:685),0/5-2/7: 255(RC:1000) 007(RE:1000) 255(BM:932) 255(BE:886) 007(BC:873),0/5-1/6: 556(RM:1000) 066(BC:990) 066(BM:737) 155(BE:685),2/7: 277(RC:1000) 277(RM:1000) 277(BE:700),2/7-3/8: 228(RC:1000) 788(RE:1000) 288(BM:961),186,173,False,False
Connecticut,Connecticut4,Combined,0,0/5-4/9: 099(RC:1000) 044(BE:895) 099(BM:789) 445(BC:763) 559(BM:722) 445(BE:687) 004(BM:681),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:876) 677(BE:771) 112(BE:718),2/7-3/8: 223(RE:1000) 228(RE:1000) 288(BC:849),0/5-3/8: 088(RE:1000) 355(BC:997) 355(BE:684),1/6-3/8: 668(BE:900) 133(BE:892) 688(BC:691) 133(BC:687),095,467,False,False
New Jersey,NewJersey4,Combined,0,3/8-4/9: 339(RC:1000) 889(RC:1000) 448(RM:1000) 889(RM:1000) 339(BE:926) 899(BM:917),0/5-1/6: 556(RC:1000) 155(RE:1000) 556(BE:858) 155(BC:853),0/5-2/7: 022(RC:1000) 022(RM:1000) 077(BC:764) 022(BE:743),1/6-3/8: 336(RM:1000) 366(RM:1000) 668(BM:972),0/5-3/8: 335(BC:867) 335(BE:824) 558(BE:804) 088(BE:801) 008(BE:667),421,356,False,False
Virginia,Virginia4,Combined,0,1/6-4/9: 699(RC:1000) 199(RM:1000) 699(RE:1000) 699(BM:839) 119(BC:798) 446(BM:703),2/7-3/8: 377(RC:1000) 778(RC:1000) 778(RE:1000) 223(BM:924) 377(BM:909) 778(BM:676),0/5-1/6: 115(RM:1000) 566(RM:1000) 001(BC:939) 556(BC:895) 001(BE:846),0/5-4/9: 445(RC:1000) 599(RC:1000) 004(RM:1000) 445(BE:742),1/6-2/7: 177(RM:1000) 667(RM:1000) 677(BM:894) 677(BC:878) 122(BE:805),888,100,False,True
Connecticut,Connecticut4,Midday,0,0/5-4/9: 099(RC:1000) 044(BE:895) 099(BM:789) 445(BC:763) 559(BM:722) 445(BE:687) 004(BM:681),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:876) 677(BE:771) 112(BE:718),2/7-3/8: 223(RE:1000) 228(RE:1000) 288(BC:849),0/5-3/8: 088(RE:1000) 355(BC:997) 355(BE:684),1/6-3/8: 668(BE:900) 133(BE:892) 688(BC:691) 133(BC:687),095,467,False,False
Florida,Florida4,Midday,0,0/5-3/8: 588(RC:1000) 003(RM:1000) 008(RM:1000) 335(BC:692),3/8-4/9: 889(RC:1000) 488(RM:1000) 889(BE:918) 339(BM:868) 448(BE:779),0/5-4/9: 009(RC:1000) 455(RC:1000) 009(BE:769) 455(BM:734),0/5-1/6: 011(RM:1000) 566(RE:1000) 155(BC:681),0/5-2/7: 077(RC:1000) 557(BM:981) 022(BE:847) 077(BE:812),377,870,False,False
Indiana,Indiana4,Midday,0,1/6-2/7: 177(RC:1000) 226(RE:1000) 677(BM:913) 117(BE:866) 266(BM:766) 667(BC:751) 177(BM:727),0/5-2/7: 002(RC:1000) 022(RE:1000) 002(BE:798) 007(BC:699) 022(BC:677),0/5-4/9: 559(RC:1000) 559(RM:1000) 559(BE:865) 445(BM:806) 009(BE:787),2/7-4/9: 477(RM:1000) 447(BC:734) 779(BE:726) 244(BC:720) 779(BC:715) 224(BE:676),2/7: 277(RC:1000) 277(RE:1000),585,512,False,False
North Carolina,NorthCarolina4,Midday,0,0/5-4/9: 009(RC:1000) 044(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 445(BC:806),3/8-4/9: 344(RE:1000) 488(BM:773) 334(BE:765) 899(BE:755),0/5-1/6: 001(RC:1000) 155(BC:870) 155(BM:779),0/5-2/7: 225(RE:1000) 557(BE:768) 007(BM:728),1/6-3/8: 668(RE:1000) 188(BE:769) 133(BE:746),455,879,False,False
Ontario,OntarioCanada4,Midday,0,0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 559(BE:793) 044(BE:691),2/7-4/9: 244(RC:1000) 244(RM:1000) 244(RE:1000) 477(BE:782) 477(BC:699),1/6-4/9: 144(RC:1000) 466(BM:828) 199(BE:824) 446(BM:736) 669(BC:686),2/7-3/8: 778(RC:1000) 778(RE:1000) 228(BM:992),0/5-2/7: 255(RC:1000) 255(BM:942) 007(BC:676),409,372,False,False
Connecticut,Connecticut4,Evening,0,0/5-4/9: 099(RC:1000) 044(BE:895) 099(BM:789) 445(BC:763) 559(BM:722) 445(BE:687) 004(BM:681),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:876) 677(BE:771) 112(BE:718),2/7-3/8: 223(RE:1000) 228(RE:1000) 288(BC:849),0/5-3/8: 088(RE:1000) 355(BC:997) 355(BE:684),1/6-3/8: 668(BE:900) 133(BE:892) 688(BC:691) 133(BC:687),095,467,False,False
New Jersey,NewJersey4,Evening,0,3/8-4/9: 339(RC:1000) 889(RC:1000) 448(RM:1000) 889(RM:1000) 339(BE:926) 899(BM:917),0/5-1/6: 556(RC:1000) 155(RE:1000) 556(BE:858) 155(BC:853),0/5-2/7: 022(RC:1000) 022(RM:1000) 077(BC:764) 022(BE:743),1/6-3/8: 336(RM:1000) 366(RM:1000) 668(BM:972),0/5-3/8: 335(BC:867) 335(BE:824) 558(BE:804) 088(BE:801) 008(BE:667),421,356,False,False
Virginia,Virginia4,Evening,0,1/6-4/9: 699(RC:1000) 199(RM:1000) 699(RE:1000) 699(BM:839) 119(BC:798) 446(BM:703),2/7-3/8: 377(RC:1000) 778(RC:1000) 778(RE:1000) 223(BM:924) 377(BM:909) 778(BM:676),0/5-1/6: 115(RM:1000) 566(RM:1000) 001(BC:939) 556(BC:895) 001(BE:846),0/5-4/9: 445(RC:1000) 599(RC:1000) 004(RM:1000) 445(BE:742),1/6-2/7: 177(RM:1000) 667(RM:1000) 677(BM:894) 677(BC:878) 122(BE:805),888,100,False,True
