section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,why
Midday,Set1,Draw4,3,33559,straight,8.0,R6,False,False,False,False,False,False,False,False,False,0,straight|cov1|span2
Midday,Set1,Draw4,3,01557,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw4,3,01567,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw4,3,0557,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw4,3,33459,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw4,2,157,straight,8.0,R6,False,False,False,False,False,False,False,False,False,2,straight|cov1|span2|hot2
Midday,Set1,Draw4,2,3345,straight,8.0,R6,False,False,False,False,False,False,False,False,False,2,straight|cov1|hot2
Midday,Set1,Draw4,2,1337,straight,8.0,R8,False,False,False,False,False,False,False,False,False,2,straight|cov1|hot2
Midday,Set1,Draw4,2,137,straight,8.0,R8,False,False,False,False,False,False,False,False,False,2,straight|cov1|span2|hot2
Midday,Set1,Draw5,3,02459,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw5,3,001,straight,8.0,"R2,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|vstr2
Midday,Set1,Draw5,3,1336,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw5,3,24559,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw5,3,00249,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw5,2,014,straight,8.0,R2,False,False,False,False,False,False,False,False,False,2,straight|cov1|span2|hot2
Midday,Set1,Draw5,3,02559,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw5,3,0559,boxed,8.0,"R4,R6",True,False,False,False,False,False,False,False,False,0,boxed|cov2|mirror
Midday,Set1,Draw5,2,334,straight,8.0,R4,False,False,False,False,False,False,False,False,False,2,straight|cov1|span2|hot2
Midday,Set1,Draw5,3,339,straight,8.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|vstr2
Midday,Set1,Draw5,3,007,straight,8.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|vstr2
Midday,Set1,Draw5,3,23349,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw5,3,03559,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw5,3,167,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|span3|mirror
Midday,Set1,Draw5,2,233,straight,8.0,R6,False,False,False,False,False,False,False,False,False,2,straight|cov1|span2|hot2
Midday,Set1,Draw5,3,13369,straight,8.0,R8,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw5,2,455,straight,8.0,R8,False,False,False,False,False,False,False,False,False,2,straight|cov1|span2|hot2
Midday,Set1,Draw6,2,2459,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw6,2,336,boxed,8.0,"R2,R4,R8",False,False,False,False,False,False,False,False,False,0,boxed|cov3
Midday,Set1,Draw6,2,01336,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,2,0249,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw6,2,24559,straight,8.0,R2,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,1,024,straight,8.0,R2,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,014,straight,8.0,R2,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,667,straight,8.0,R2,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,013,straight,8.0,R2,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,136,straight,8.0,R2,True,False,False,False,False,False,False,False,False,1,straight|cov1|mirror|hot1
Midday,Set1,Draw6,2,0569,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw6,2,02559,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,2,05569,straight,8.0,R4,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,2,0559,boxed,8.0,"R4,R6",True,False,False,False,False,False,False,False,False,0,boxed|cov2|mirror
Midday,Set1,Draw6,1,069,straight,8.0,R4,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,347,straight,8.0,R4,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,3466,straight,8.0,R4,False,False,False,False,False,False,False,False,False,1,straight|cov1|hot1
Midday,Set1,Draw6,1,147,straight,8.0,R4,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,066,straight,8.0,R4,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,2,05579,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,2,339,straight,8.0,"R6,R8",False,True,False,False,False,False,False,False,False,0,straight|cov2|vstr2
Midday,Set1,Draw6,2,23349,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,2,1667,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw6,2,01557,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,2,03559,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,2,0157,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw6,2,0167,straight,8.0,R6,True,False,False,False,False,False,False,False,False,0,straight|cov1|span2|mirror
Midday,Set1,Draw6,1,234,straight,8.0,R6,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,1,359,straight,8.0,R6,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
Midday,Set1,Draw6,2,13369,straight,8.0,R8,True,False,False,False,False,False,False,False,False,0,straight|cov1|mirror
Midday,Set1,Draw6,1,3669,straight,8.0,R8,False,False,False,False,False,False,False,False,False,1,straight|cov1|hot1
Midday,Set1,Draw6,1,019,straight,8.0,R8,False,False,False,False,False,False,False,False,False,1,straight|cov1|span2|hot1
