State,StateKey,Variant,Draws Since Double,Family 1,Family 2,Family 3,Family 4,Family 5,Winner Midday,Winner Evening,Midday Winner In Family,Evening Winner In Family
Indiana,Indiana4,Combined,3,3/8-4/9: 339(RC:1000) 899(RM:1000) 899(BC:862) 334(BM:761) 448(BC:742) 339(BM:722) 339(BE:680),1/6-2/7: 226(RE:1000) 177(BC:902) 122(BC:822) 677(BM:723) 117(BE:676),0/5-3/8: 088(RC:1000) 088(BM:937) 088(BE:706) 558(BC:698),2/7: 227(RM:1000) 277(RE:1000) 277(BC:953),0/5-2/7: 577(RM:1000) 022(BE:874) 002(BC:783),110,032,False,False
Pennsylvania,Pennsylvania4,Combined,3,0/5-2/7: 255(RC:1000) 002(RM:1000) 007(RE:1000) 557(BE:851) 255(BM:742) 077(BE:728) 255(BE:696),1/6-3/8: 133(RC:1000) 133(RE:1000) 133(BM:999) 118(BM:835) 668(BM:724),2/7-4/9: 447(RM:1000) 229(RE:1000) 779(BE:845) 244(BC:704),3/8-4/9: 448(RC:1000) 448(RE:1000) 488(BC:876) 899(BE:777),2/7: 277(RC:1000) 277(RM:1000),164,040,False,False
Ohio,Ohio4,Midday,3,1/6-3/8: 118(RC:1000) 118(RM:1000) 113(RE:1000) 668(BC:881) 688(BM:779),0/5-1/6: 556(RC:1000) 556(RE:1000) 066(BC:938) 066(BM:867) 556(BM:802),1/6-4/9: 114(RE:1000) 446(BE:957) 669(BM:923) 466(BM:897) 699(BM:741) 114(BC:723),0/5-3/8: 033(RM:1000) 088(RM:1000) 003(BE:826) 335(BE:700),2/7-4/9: 224(RC:1000) 224(BE:746) 224(BM:698) 229(BC:692),734,368,False,False
Florida,Florida4,Evening,3,1/6-3/8: 366(RC:1000) 366(RM:1000) 118(BM:958) 688(BE:941) 133(BE:769),0/5-3/8: 008(RC:1000) 003(BM:901) 088(BE:879) 008(BM:835) 588(BC:699),3/8-4/9: 488(RM:1000) 889(BC:897) 889(BE:728) 339(BM:678),0/5-1/6: 566(RE:1000) 066(BM:915) 011(BM:903),1/6-4/9: 119(RM:1000) 669(RM:1000),665,465,True,False
Connecticut,Connecticut4,Combined,2,0/5-2/7: 225(RC:1000) 002(RM:1000) 255(BE:935) 225(BE:812) 225(BM:753) 077(BM:734),1/6-4/9: 446(RM:1000) 669(RM:1000) 466(RE:1000) 466(BC:739),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:686),0/5-4/9: 004(BC:832) 099(BC:804) 009(BM:727) 044(BE:705) 044(BC:699),2/7-3/8: 228(BE:890) 337(BM:856) 223(BE:849) 223(BC:813),130,938,False,False
New Jersey,NewJersey4,Midday,2,3/8-4/9: 899(RC:1000) 899(RE:1000) 448(BM:986) 889(BM:911) 339(BC:811) 339(BE:737) 899(BM:728),0/5-2/7: 022(RC:1000) 022(RM:1000) 225(BE:932) 577(BM:859) 255(BC:758) 002(BE:705),1/6-3/8: 668(RC:1000) 366(RM:1000) 668(BE:943) 336(BM:867) 336(BC:828) 668(BM:783),2/7-3/8: 223(BC:992) 778(BM:779) 377(BC:729) 223(BM:677),0/5-1/6: 155(BE:988) 556(BC:791) 115(BM:669) 556(BE:669),106,152,False,False
North Carolina,NorthCarolina4,Midday,2,0/5-4/9: 455(RC:1000) 559(RC:1000) 009(RM:1000) 445(RM:1000) 559(RM:1000) 559(RE:1000) 455(BE:856) 004(BC:772) 044(BC:693),3/8-4/9: 334(RC:1000) 344(RC:1000) 344(RE:1000) 344(BM:830),1/6-2/7: 177(RC:1000) 177(RE:1000) 677(BC:697) 226(BC:683),1/6-3/8: 188(RC:1000) 688(RM:1000) 668(BE:970) 188(BM:823),2/7-3/8: 223(RC:1000) 778(BE:986) 228(BC:824) 377(BC:695) 223(BE:668),920,145,False,False
Ontario,OntarioCanada4,Midday,2,2/7-3/8: 228(RC:1000) 778(BE:986) 288(BM:955) 228(BE:932) 337(BE:899) 288(BC:830) 778(BC:811) 228(BM:802),0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 099(BM:905) 004(BC:837),2/7-4/9: 244(RC:1000) 244(RM:1000) 229(RE:1000) 244(RE:1000),0/5-1/6: 566(RC:1000) 066(BE:832) 115(BC:804) 566(BM:728) 011(BM:695),3/8: 338(RC:1000) 388(BE:806) 338(BM:722) 388(BC:691) 338(BE:676),325,438,False,False
Pennsylvania,Pennsylvania4,Evening,2,0/5-2/7: 255(RC:1000) 002(RM:1000) 007(RE:1000) 557(BE:851) 255(BM:742) 077(BE:728) 255(BE:696),1/6-3/8: 133(RC:1000) 133(RE:1000) 133(BM:999) 118(BM:835) 668(BM:724),2/7-4/9: 447(RM:1000) 229(RE:1000) 779(BE:845) 244(BC:704),3/8-4/9: 448(RC:1000) 448(RE:1000) 488(BC:876) 899(BE:777),2/7: 277(RC:1000) 277(RM:1000),164,040,False,False
Virginia,Virginia4,Evening,2,1/6-4/9: 199(RC:1000) 446(RC:1000) 699(RC:1000) 199(RM:1000) 446(RE:1000) 699(RE:1000) 669(BM:700) 199(BE:673),1/6-3/8: 118(RC:1000) 133(RC:1000) 118(RM:1000) 188(RE:1000) 133(BM:945) 336(BC:918) 133(BE:850) 668(BC:701),0/5-3/8: 558(RC:1000) 335(RM:1000) 588(RM:1000) 558(BM:863),2/7-3/8: 778(RE:1000) 778(BC:973) 228(BC:810) 223(BM:734) 377(BM:719),2/7-4/9: 477(RM:1000) 799(BC:998) 447(BC:849) 799(BM:683),579,385,False,False
Delaware,Delaware4,Combined,1,0/5-3/8: 588(RC:1000) 088(RE:1000) 355(RE:1000) 008(BM:966) 355(BC:867) 588(BM:721),2/7-3/8: 778(RC:1000) 288(RM:1000) 228(RE:1000) 228(BC:871) 778(BM:756) 223(BC:697),1/6-3/8: 113(RM:1000) 133(RM:1000) 668(BC:757) 336(BM:755) 118(BM:694) 668(BE:668),0/5-4/9: 455(RE:1000) 455(BC:907) 599(BC:819) 009(BC:800),2/7-4/9: 244(RC:1000) 244(BM:826) 244(BE:782) 229(BE:757),669,919,False,False
Florida,Florida4,Combined,1,1/6-3/8: 366(RC:1000) 366(RM:1000) 118(BM:958) 688(BE:941) 133(BE:769),0/5-3/8: 008(RC:1000) 003(BM:901) 088(BE:879) 008(BM:835) 588(BC:699),3/8-4/9: 488(RM:1000) 889(BC:897) 889(BE:728) 339(BM:678),0/5-1/6: 566(RE:1000) 066(BM:915) 011(BM:903),1/6-4/9: 119(RM:1000) 669(RM:1000),665,465,True,False
New York,NewYork4,Combined,1,0/5-1/6: 001(RC:1000) 011(RC:1000) 066(RC:1000) 011(RM:1000) 066(RE:1000) 066(BM:958) 011(BE:858) 001(BM:803) 566(BE:782),0/5-3/8: 355(RC:1000) 558(RM:1000) 008(RE:1000) 355(BE:931),1/6-2/7: 677(RC:1000) 117(RM:1000) 677(RM:1000),2/7-4/9: 244(RM:1000) 447(RE:1000) 477(BM:982) 477(BC:694),1/6-4/9: 446(RC:1000) 446(RM:1000) 446(BE:781),638,767,False,True
Indiana,Indiana4,Midday,1,3/8-4/9: 339(RC:1000) 899(RM:1000) 899(BC:862) 334(BM:761) 448(BC:742) 339(BM:722) 339(BE:680),1/6-2/7: 226(RE:1000) 177(BC:902) 122(BC:822) 677(BM:723) 117(BE:676),0/5-3/8: 088(RC:1000) 088(BM:937) 088(BE:706) 558(BC:698),2/7: 227(RM:1000) 277(RE:1000) 277(BC:953),0/5-2/7: 577(RM:1000) 022(BE:874) 002(BC:783),110,032,False,False
Pennsylvania,Pennsylvania4,Midday,1,0/5-2/7: 255(RC:1000) 002(RM:1000) 007(RE:1000) 557(BE:851) 255(BM:742) 077(BE:728) 255(BE:696),1/6-3/8: 133(RC:1000) 133(RE:1000) 133(BM:999) 118(BM:835) 668(BM:724),2/7-4/9: 447(RM:1000) 229(RE:1000) 779(BE:845) 244(BC:704),3/8-4/9: 448(RC:1000) 448(RE:1000) 488(BC:876) 899(BE:777),2/7: 277(RC:1000) 277(RM:1000),164,040,False,False
South Carolina,SouthCarolina4,Midday,1,0/5-1/6: 155(RC:1000) 556(RC:1000) 155(RM:1000) 556(BE:820) 115(BE:815) 011(BM:766) 115(BC:674),2/7-3/8: 778(RM:1000) 288(RE:1000) 288(BC:904) 788(BE:759) 788(BC:726) 228(BC:708),1/6-4/9: 114(RC:1000) 446(RE:1000) 144(BM:976) 114(BE:975) 466(BC:823),3/8-4/9: 339(RC:1000) 889(RM:1000) 399(RE:1000),0/5-4/9: 099(RC:1000) 099(RE:1000),958,314,False,False
Connecticut,Connecticut4,Evening,1,0/5-2/7: 225(RC:1000) 002(RM:1000) 255(BE:935) 225(BE:812) 225(BM:753) 077(BM:734),1/6-4/9: 446(RM:1000) 669(RM:1000) 466(RE:1000) 466(BC:739),1/6-2/7: 677(RC:1000) 677(RM:1000) 117(BM:686),0/5-4/9: 004(BC:832) 099(BC:804) 009(BM:727) 044(BE:705) 044(BC:699),2/7-3/8: 228(BE:890) 337(BM:856) 223(BE:849) 223(BC:813),130,938,False,False
Delaware,Delaware4,Evening,1,0/5-3/8: 588(RC:1000) 088(RE:1000) 355(RE:1000) 008(BM:966) 355(BC:867) 588(BM:721),2/7-3/8: 778(RC:1000) 288(RM:1000) 228(RE:1000) 228(BC:871) 778(BM:756) 223(BC:697),1/6-3/8: 113(RM:1000) 133(RM:1000) 668(BC:757) 336(BM:755) 118(BM:694) 668(BE:668),0/5-4/9: 455(RE:1000) 455(BC:907) 599(BC:819) 009(BC:800),2/7-4/9: 244(RC:1000) 244(BM:826) 244(BE:782) 229(BE:757),669,919,False,False
Michigan,Michigan4,Combined,0,1/6-2/7: 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:776) 677(BC:755) 112(BC:697) 677(BE:694) 667(BM:673),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 001(BM:998) 001(BC:980),2/7-4/9: 224(RM:1000) 299(RM:1000) 299(BC:946) 244(BE:822) 447(BE:820),0/5-3/8: 088(RC:1000) 003(RE:1000) 033(BC:808),2/7-3/8: 788(RM:1000) 228(BC:723) 778(BE:723) 788(BC:670),392,964,False,False
New Jersey,NewJersey4,Combined,0,3/8-4/9: 899(RC:1000) 899(RE:1000) 448(BM:986) 889(BM:911) 339(BC:811) 339(BE:737) 899(BM:728),0/5-2/7: 022(RC:1000) 022(RM:1000) 225(BE:932) 577(BM:859) 255(BC:758) 002(BE:705),1/6-3/8: 668(RC:1000) 366(RM:1000) 668(BE:943) 336(BM:867) 336(BC:828) 668(BM:783),2/7-3/8: 223(BC:992) 778(BM:779) 377(BC:729) 223(BM:677),0/5-1/6: 155(BE:988) 556(BC:791) 115(BM:669) 556(BE:669),106,152,False,False
Ohio,Ohio4,Combined,0,1/6-3/8: 118(RC:1000) 118(RM:1000) 113(RE:1000) 668(BC:881) 688(BM:779),0/5-1/6: 556(RC:1000) 556(RE:1000) 066(BC:938) 066(BM:867) 556(BM:802),1/6-4/9: 114(RE:1000) 446(BE:957) 669(BM:923) 466(BM:897) 699(BM:741) 114(BC:723),0/5-3/8: 033(RM:1000) 088(RM:1000) 003(BE:826) 335(BE:700),2/7-4/9: 224(RC:1000) 224(BE:746) 224(BM:698) 229(BC:692),734,368,False,False
Ontario,OntarioCanada4,Combined,0,2/7-3/8: 228(RC:1000) 778(BE:986) 288(BM:955) 228(BE:932) 337(BE:899) 288(BC:830) 778(BC:811) 228(BM:802),0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 099(BM:905) 004(BC:837),2/7-4/9: 244(RC:1000) 244(RM:1000) 229(RE:1000) 244(RE:1000),0/5-1/6: 566(RC:1000) 066(BE:832) 115(BC:804) 566(BM:728) 011(BM:695),3/8: 338(RC:1000) 388(BE:806) 338(BM:722) 388(BC:691) 338(BE:676),325,438,False,False
Puerto Rico,PuertoRico4,Combined,0,0/5-3/8: 335(RC:1000) 033(RM:1000) 335(RM:1000) 558(BM:953) 003(BM:779) 088(BC:718),1/6-4/9: 199(RM:1000) 466(RM:1000) 669(RM:1000) 114(BE:754) 669(BC:704),2/7-4/9: 299(RC:1000) 799(RE:1000) 229(BE:850) 299(BE:840) 299(BM:788) 229(BC:771),0/5-2/7: 007(RE:1000) 022(RE:1000) 225(BC:840) 077(BC:838) 077(BM:765),3/8-4/9: 334(RM:1000) 334(BC:968) 448(BE:829) 344(BC:808) 344(BM:783) 399(BC:769),858,454,False,False
Delaware,Delaware4,Midday,0,0/5-3/8: 588(RC:1000) 088(RE:1000) 355(RE:1000) 008(BM:966) 355(BC:867) 588(BM:721),2/7-3/8: 778(RC:1000) 288(RM:1000) 228(RE:1000) 228(BC:871) 778(BM:756) 223(BC:697),1/6-3/8: 113(RM:1000) 133(RM:1000) 668(BC:757) 336(BM:755) 118(BM:694) 668(BE:668),0/5-4/9: 455(RE:1000) 455(BC:907) 599(BC:819) 009(BC:800),2/7-4/9: 244(RC:1000) 244(BM:826) 244(BE:782) 229(BE:757),669,919,False,False
Florida,Florida4,Midday,0,1/6-3/8: 366(RC:1000) 366(RM:1000) 118(BM:958) 688(BE:941) 133(BE:769),0/5-3/8: 008(RC:1000) 003(BM:901) 088(BE:879) 008(BM:835) 588(BC:699),3/8-4/9: 488(RM:1000) 889(BC:897) 889(BE:728) 339(BM:678),0/5-1/6: 566(RE:1000) 066(BM:915) 011(BM:903),1/6-4/9: 119(RM:1000) 669(RM:1000),665,465,True,False
New York,NewYork4,Midday,0,0/5-1/6: 001(RC:1000) 011(RC:1000) 066(RC:1000) 011(RM:1000) 066(RE:1000) 066(BM:958) 011(BE:858) 001(BM:803) 566(BE:782),0/5-3/8: 355(RC:1000) 558(RM:1000) 008(RE:1000) 355(BE:931),1/6-2/7: 677(RC:1000) 117(RM:1000) 677(RM:1000),2/7-4/9: 244(RM:1000) 447(RE:1000) 477(BM:982) 477(BC:694),1/6-4/9: 446(RC:1000) 446(RM:1000) 446(BE:781),638,767,False,True
Michigan,Michigan4,Evening,0,1/6-2/7: 667(RC:1000) 226(RM:1000) 112(RE:1000) 667(RE:1000) 266(BM:776) 677(BC:755) 112(BC:697) 677(BE:694) 667(BM:673),0/5-1/6: 566(RC:1000) 155(RE:1000) 566(RE:1000) 001(BM:998) 001(BC:980),2/7-4/9: 224(RM:1000) 299(RM:1000) 299(BC:946) 244(BE:822) 447(BE:820),0/5-3/8: 088(RC:1000) 003(RE:1000) 033(BC:808),2/7-3/8: 788(RM:1000) 228(BC:723) 778(BE:723) 788(BC:670),392,964,False,False
New Jersey,NewJersey4,Evening,0,3/8-4/9: 899(RC:1000) 899(RE:1000) 448(BM:986) 889(BM:911) 339(BC:811) 339(BE:737) 899(BM:728),0/5-2/7: 022(RC:1000) 022(RM:1000) 225(BE:932) 577(BM:859) 255(BC:758) 002(BE:705),1/6-3/8: 668(RC:1000) 366(RM:1000) 668(BE:943) 336(BM:867) 336(BC:828) 668(BM:783),2/7-3/8: 223(BC:992) 778(BM:779) 377(BC:729) 223(BM:677),0/5-1/6: 155(BE:988) 556(BC:791) 115(BM:669) 556(BE:669),106,152,False,False
Ohio,Ohio4,Evening,0,1/6-3/8: 118(RC:1000) 118(RM:1000) 113(RE:1000) 668(BC:881) 688(BM:779),0/5-1/6: 556(RC:1000) 556(RE:1000) 066(BC:938) 066(BM:867) 556(BM:802),1/6-4/9: 114(RE:1000) 446(BE:957) 669(BM:923) 466(BM:897) 699(BM:741) 114(BC:723),0/5-3/8: 033(RM:1000) 088(RM:1000) 003(BE:826) 335(BE:700),2/7-4/9: 224(RC:1000) 224(BE:746) 224(BM:698) 229(BC:692),734,368,False,False
Ontario,OntarioCanada4,Evening,0,2/7-3/8: 228(RC:1000) 778(BE:986) 288(BM:955) 228(BE:932) 337(BE:899) 288(BC:830) 778(BC:811) 228(BM:802),0/5-4/9: 044(RC:1000) 044(RM:1000) 004(RE:1000) 099(BM:905) 004(BC:837),2/7-4/9: 244(RC:1000) 244(RM:1000) 229(RE:1000) 244(RE:1000),0/5-1/6: 566(RC:1000) 066(BE:832) 115(BC:804) 566(BM:728) 011(BM:695),3/8: 338(RC:1000) 388(BE:806) 338(BM:722) 388(BC:691) 338(BE:676),325,438,False,False
Puerto Rico,PuertoRico4,Evening,0,0/5-3/8: 335(RC:1000) 033(RM:1000) 335(RM:1000) 558(BM:953) 003(BM:779) 088(BC:718),1/6-4/9: 199(RM:1000) 466(RM:1000) 669(RM:1000) 114(BE:754) 669(BC:704),2/7-4/9: 299(RC:1000) 799(RE:1000) 229(BE:850) 299(BE:840) 299(BM:788) 229(BC:771),0/5-2/7: 007(RE:1000) 022(RE:1000) 225(BC:840) 077(BC:838) 077(BM:765),3/8-4/9: 334(RM:1000) 334(BC:968) 448(BE:829) 344(BC:808) 344(BM:783) 399(BC:769),858,454,False,False
