section,Set,Draw,Column,Canonical,type,score,rows,mirror,straight2,straight3,single_left,cons_full,cons_3v,cons_stub,dom_last,dom_pair,hot,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,orders_modal_value,orders_modal_rows,family_id,hidden3v,score_cov,score_hpr,score_perm,score_repeat,score_straight,score_single,score_cons,score_hot,score_mirror,score_dom,score_len,score_hidden,score_vtrac_straight,score_persistence_set,score_persistence_draw,persistence_set_count,persistence_draw_run,score_double_mirror,double_mirror,why
Evening,Set1,Draw4,2,0335668,straight,17.5,R4,True,False,False,False,False,False,False,False,False,2,1,0,2,5066833,1,8.0,True,2,2,0,0.0,3,0,0,2,1,0.0,4,0.5,2,0,1,1,2,0,False,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2
Evening,Set1,Draw4,2,0668,straight,17.5,R4,False,False,False,False,False,False,False,False,False,2,1,0,4,0668,1,8.0,True,2,4,0,0.0,3,0,0,2,0,0.0,1,0.5,2,0,3,1,4,0,False,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|draw_chain4
Evening,Set1,Draw4,2,03668,straight,17.5,R4,True,False,False,False,False,False,False,False,False,2,1,0,2,06683,1,8.0,True,2,2,0,0.0,3,0,0,2,1,0.0,2,0.5,2,0,3,1,4,0,False,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4
Evening,Set1,Draw4,2,1334668,boxed,17.5,"R4,R8",True,False,False,False,False,False,False,False,False,2,2,0,1,6683341,1,24.0,True,4,1,1,0.0,1,0,0,2,1,0.0,4,0.5,0,0,3,1,4,0,False,boxed|cov2|mirror|hot2|perm2|hidden3v|draw_chain4
Evening,Set1,Draw4,2,13348,straight,17.5,R4,True,False,False,False,False,False,False,False,False,2,1,0,3,83341,1,24.0,True,2,3,0,0.0,3,0,0,2,1,0.0,2,0.5,2,0,2,1,3,0,False,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain3
Evening,Set1,Draw4,1,035668,boxed,17.5,"R4,R6",True,False,False,False,False,False,False,False,False,2,2,0,2,506683,1,8.0,True,4,2,1,0.0,1,0,0,4,1,0.0,3,0.5,0,0,1,1,2,0,False,boxed|cov2|hp_repeat2|mirror|hot2|perm2|hidden3v|draw_chain2
Evening,Set1,Draw4,2,01335668,straight,17.5,R6,True,False,False,False,False,False,False,False,False,2,1,0,1,66810533,1,8.0,True,2,1,0,0.0,3,0,0,2,1,0.0,5,0.5,2,0,1,1,2,0,False,straight|cov1|mirror|hot2|hidden3v|vtrac_straight|draw_chain2
Evening,Set1,Draw4,2,0158,straight,17.5,R6,True,False,False,False,False,False,False,False,False,2,1,0,3,8105,1,8.0,True,2,3,0,0.0,3,0,0,2,1,0.0,1,0.5,2,0,3,1,4,0,False,straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain4
Evening,Set1,Draw4,2,0335,straight,17.5,R6,True,False,False,False,False,False,False,False,False,2,1,0,2,0533,1,4.0,True,2,2,0,0.0,3,0,0,2,1,0.0,1,0.5,2,0,4,1,5,0,False,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain5
Evening,Set1,Draw4,2,335,straight,17.5,R6,False,False,False,False,False,False,False,False,False,2,1,0,2,533,1,13.0,True,2,2,0,0.0,3,0,0,2,0,0.0,0,0.5,2,0,5,1,6,1,True,straight|cov1|hp_repeat2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain6
