kind,role,state,period,result,path,bytes,sha256
SOURCE,aux_core_post_result_json,NorthCarolina4,Midday,855,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NorthCarolina4/AUX_CORE__Midday__855__POST_RESULT.json,31162,b72805645bdaa37c56d82b05ae020e3ceb1ede01f68482d9d7563b29a3a6195c
SOURCE,aux_core_pre_result_json,NorthCarolina4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/NorthCarolina4/AUX_CORE__PRE_RESULT.json,3159280,871653a62f1164ceeb1f0d65c87ba24ab22f63c669f017303fb864b9a55b0bc9
SOURCE,aux_core_post_result_md,Ohio4,Evening,664,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Ohio4/AUX_CORE__Evening__664.md,21028,d9406e7a760caea0e5acb732eaaa89a52848820dff21f74b61a704a3a304c37b
SOURCE,aux_core_post_result_json,Ohio4,Evening,664,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Ohio4/AUX_CORE__Evening__664__POST_RESULT.json,18871,e2268328d4dad286210c8b16f548a0bb9bfab3c2b68fbad72dfb0901ee2aa568
SOURCE,aux_core_pre_result_md,Ohio4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Ohio4/AUX_CORE__FULL_PRE_RESULT.md,44817,28ab058b5214e1d7ab6aa6bbeab454d0ab31b26529f99d5a7df6dc37af0930f6
SOURCE,aux_core_post_result_md,Ohio4,Midday,848,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Ohio4/AUX_CORE__Midday__848.md,20306,c5d67b685bedc375bc9498e1f9e7aebed05f64a2e1f8f6a62f84c4b5f3a5452a
SOURCE,aux_core_post_result_json,Ohio4,Midday,848,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Ohio4/AUX_CORE__Midday__848__POST_RESULT.json,9042,8738ecd8f3af7ff6c81640fabf1320ae3b8397d78a162e41dd50f3102a78f6ba
SOURCE,aux_core_pre_result_json,Ohio4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Ohio4/AUX_CORE__PRE_RESULT.json,2896364,9c6579b0ea9e2d99eb7f6aa4ab1178e40ce3607cd0e27d1b2f5fe6d2114772f8
SOURCE,aux_core_post_result_md,OntarioCanada4,Evening,559,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/OntarioCanada4/AUX_CORE__Evening__559.md,20244,b76afa133370ac039addf99cb52af70fc19819026d98a1cf5c79936ce7fe4eea
SOURCE,aux_core_post_result_json,OntarioCanada4,Evening,559,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/OntarioCanada4/AUX_CORE__Evening__559__POST_RESULT.json,18035,d6c0ee17163bab26827df91edc49bfa2154e9d9b98f15bb926ee6527c055953c
SOURCE,aux_core_pre_result_md,OntarioCanada4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/OntarioCanada4/AUX_CORE__FULL_PRE_RESULT.md,45175,1d45ef8c0e400c6c3de9c1ab11b039657f204e5ff06d4e36901c96d10f190016
SOURCE,aux_core_post_result_md,OntarioCanada4,Midday,603,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/OntarioCanada4/AUX_CORE__Midday__603.md,22066,3c140f21d3cc858cbca197204bf512764d5ae4b6e6f201f54fcd4309088b21a1
SOURCE,aux_core_post_result_json,OntarioCanada4,Midday,603,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/OntarioCanada4/AUX_CORE__Midday__603__POST_RESULT.json,46186,90a0df6a2a10df295c3f002046ada0abfdd2ecc822f3235d30311245c7b19ae1
SOURCE,aux_core_pre_result_json,OntarioCanada4,,,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/OntarioCanada4/AUX_CORE__PRE_RESULT.json,2988440,787d0f7b9eb220219431185a5902f377fd3588db52149e937a906edb6f56b4b8
SOURCE,aux_core_post_result_md,Pennsylvania4,Evening,966,docs/AAT9_KIT/FINAL VALIDATION/RUNS_2/AUX_CORE_V1/states/Pennsylvania4/AUX_CORE__Evening__966.md,19924,43c8e2002b4afc807533185e0544d11989ef77d64077b9b76aaa8592d6f347ff
