Section,Set,Draw,Column,Pattern,Score,dbg_vertical_coverage,dbg_permutation_strength,dbg_vtrac_strength,dbg_mirror_bonus,dbg_straight_bonus,dbg_box_bonus,dbg_length_bonus,dbg_hot_zone_points,dbg_nested_cluster_bonus,dbg_consensus_digit_bonus,dbg_hot_zone_consensus_synergy,dbg_horizontal_persistence,dbg_lingering_bonus,dbg_remaining_3value_bonus,dbg_order_persistence
Midday,Set1,Draw3,2,/AN,33,4,1,2,0,14,1,0,0,1,0,0,,2.0,4.0,
Midday,Set1,Draw4,6,0223377,33,2,1,1,2,3,1,6,0,15,0,0,,,,
Evening,Set1,Draw5,6,2234499,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Evening,Set1,Draw5,5,2234499,33,1,1,1,2,0,1,6,0,15,0,0,2.0,3.0,,
Midday,Set1,Draw2,3,0013388,33,2,2,1,2,0,1,6,0,15,0,0,,2.0,,
Evening,Set2,Draw1,5,233,33,4,2,2,0,6,1,0,0,1,0,0,2.0,7.0,4.0,
Evening,Set2,Draw1,6,233,33,4,2,2,0,6,1,0,0,1,0,0,2.0,7.0,4.0,
Evening,Set1,Draw5,6,2233449,33,2,2,1,2,0,1,6,0,15,0,0,,2.0,,
Combined,Set2,Draw1,6,22334,33,4,3,1,0,3,1,2,0,6,0,0,2.0,7.0,,
Combined,Set2,Draw1,5,22334,33,4,3,1,0,3,1,2,0,6,0,0,2.0,7.0,,
Midday,Set1,Draw6,6,2233499,33,2,1,1,2,3,1,6,0,15,0,0,,,,
Midday,Set3,Draw1,2,336899,32,3,3,1,2,0,1,4,0,10,0,0,2.0,3.0,,
Combined,Set1,Draw4,4,0033599,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw4,4,0022599,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Evening,Set3,Draw1,1,0224479,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw1,2,223349,32,2,2,1,2,0,1,4,0,10,0,0,2.0,6.0,,
Combined,Set1,Draw1,7,22349,32,4,3,1,2,3,1,2,0,6,0,0,,6.0,,
Combined,Set1,Draw1,3,223349,32,2,2,1,2,0,1,4,0,10,0,0,2.0,6.0,,
Combined,Set1,Draw1,5,223399,32,3,2,1,0,3,1,4,0,10,0,0,,5.0,,
Combined,Set1,Draw3,5,223349,32,2,1,1,2,3,1,4,0,10,0,0,2.0,4.0,,
Midday,Set1,Draw4,7,223347,32,4,3,1,2,3,1,4,0,10,0,0,,,,
Midday,Set1,Draw2,2,0013388,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set2,Draw1,1,2233588,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw2,2,2245599,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Evening,Set1,Draw1,5,233,32,4,2,2,0,6,1,0,0,1,0,0,2.0,6.0,4.0,
Evening,Set1,Draw1,4,233,32,4,2,2,0,6,1,0,0,1,0,0,2.0,6.0,4.0,
Combined,Set2,Draw1,1,2233488,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw4,4,0233577,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw3,3,1337788,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw4,4,0223357,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Evening,Set1,Draw5,5,2233499,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw2,7,22349,32,4,3,1,2,3,1,2,0,6,0,0,,6.0,,
Evening,Set1,Draw5,5,2244599,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set2,Draw1,1,3346899,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Combined,Set1,Draw4,4,0022449,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Evening,Set1,Draw6,6,0224499,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Midday,Set1,Draw3,7,233477,32,4,3,1,2,3,1,4,0,10,0,0,,,,
Combined,Set2,Draw1,1,1223388,32,1,1,1,2,0,1,6,0,15,0,0,2.0,2.0,,
Evening,Set2,Draw1,7,233,31,4,2,2,0,6,1,0,0,1,0,0,,7.0,4.0,
Combined,Set1,Draw5,6,0224459,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw2,1,/AN,31,4,1,2,0,14,1,0,0,1,0,0,,,4.0,
Combined,Set1,Draw5,6,0334459,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw1,1,3368899,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw3,5,023377,31,2,1,1,2,3,1,4,0,10,0,0,2.0,3.0,,
Combined,Set1,Draw2,2,223349,31,2,2,1,2,0,1,4,0,10,0,0,2.0,5.0,,
Evening,Set1,Draw7,7,2244599,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Midday,Set1,Draw6,7,223349,31,3,2,1,2,3,1,4,0,10,0,0,,2.0,,
Midday,Set1,Draw6,7,2233479,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw3,6,223344,31,3,2,1,0,3,1,4,0,10,0,0,,4.0,,
Midday,Set1,Draw3,6,033,31,4,1,2,0,14,1,0,0,1,0,0,,4.0,,
Combined,Set1,Draw1,1,1334688,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw5,5,0022599,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set2,Draw1,1,1133788,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw5,5,0223355,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw6,6,0224459,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Evening,Set1,Draw7,7,0224499,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Midday,Set1,Draw5,6,0233577,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Evening,Set1,Draw5,5,3344668,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw7,7,2234499,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Evening,Set1,Draw5,5,3366899,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw7,7,0224459,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Midday,Set1,Draw5,6,0223357,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Midday,Set1,Draw5,7,2233477,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw6,6,0334459,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set3,Draw1,2,1123378,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set3,Draw1,2,1122338,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set1,Draw5,5,0033599,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Combined,Set2,Draw1,7,22334,31,4,3,1,0,3,1,2,0,6,0,0,,7.0,,
Midday,Set1,Draw2,6,033,31,4,1,2,0,14,1,0,0,1,0,0,,4.0,,
Combined,Set1,Draw5,5,0033499,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw5,5,0224499,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Evening,Set1,Draw6,6,2233499,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw2,3,223349,31,2,2,1,2,0,1,4,0,10,0,0,2.0,5.0,,
Combined,Set1,Draw5,5,0022449,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw3,3,2245599,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set3,Draw1,6,2233,31,4,2,2,0,6,1,0,0,3,0,0,2.0,7.0,,
Combined,Set1,Draw5,5,2244599,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set1,Draw3,3,0556699,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Midday,Set1,Draw3,3,0013388,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw5,5,2233668,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Evening,Set1,Draw5,5,3346689,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Midday,Set1,Draw3,3,0033488,31,1,1,1,2,0,1,6,0,15,0,0,,,,3.0
Combined,Set3,Draw1,1,0113368,31,2,2,1,2,0,1,6,0,15,0,0,,,,
Evening,Set1,Draw1,2,0023377,31,2,2,1,2,0,1,6,0,15,0,0,,,,
