section,Canonical,family_id,compound_score,base_max_score,set_chain_depth,draw_chain_depth,hot1_count,hot2_count,col1_hits,consensus_hits,hidden3v_hits,vtrac_straight_hits,double_mirror_hits,rows_covered,examples,compound_why
Combined,667,17,46.5,22.5,1,4,1,4,4,0,0,8,10,10,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx8|dblmirrorx10
Combined,4477,31,43,21.5,2,4,1,4,4,0,0,9,0,11,straight|cov1|hp_repeat4|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|set_chain2|draw_chain4,set_chain2|draw_chain4|col1x4|hot1x1|hot2x4|vstrx9
Combined,2449,31,42.5,23.5,1,5,2,4,2,0,0,9,0,12,straight|cov2|hp_repeat3|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain5|col1x2|hot1x2|hot2x4|vstrx9
Combined,266,17,42.5,18.5,1,4,1,4,4,0,0,8,10,10,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|double_mirror|draw_chain4;straight|cov1|hp_repeat3|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx8|dblmirrorx10
Combined,6677,17,41.5,22.5,1,4,1,4,4,0,0,8,0,10,boxed|cov3|hp_repeat4|vstr2|hot2|perm2|hidden3v|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx8
Combined,249,31,41.5,22.5,1,5,2,4,2,0,0,9,0,12,straight|cov2|hp_repeat3|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain5|col1x2|hot1x2|hot2x4|vstrx9
Combined,66,6,40,22.5,1,4,1,2,3,0,0,7,8,8,straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x2|vstrx7|dblmirrorx8
Combined,77,10,40,22.5,1,4,1,2,3,0,0,7,8,8,straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x2|vstrx7|dblmirrorx8
Combined,244,12,40,21.5,1,7,4,2,3,0,0,8,0,16,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain7;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain7,draw_chain7|col1x3|hot1x4|hot2x2|vstrx8
Combined,488,33,39.5,25,3,2,4,0,0,0,0,0,11,11,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2|double_mirror|set_chain3;boxed|cov3|hp_repeat3|vstr2|hot1|perm2|double_mirror|set_chain3,set_chain3|draw_chain2|hot1x4|dblmirrorx11
Combined,467,22,39,18.5,1,3,0,7,3,0,0,4,0,7,boxed|cov3|hp_repeat3|hot2|perm3|hidden3v|draw_chain3;boxed|cov3|hp_repeat3|hot2|perm3|hidden3v|draw_chain3,draw_chain3|col1x3|hot2x7|vstrx4
Combined,445,15,38.5,20.5,3,4,2,0,2,0,0,3,13,13,boxed|cov3|hp_repeat4|vstr2|hot1|perm2|hidden3v|double_mirror|set_chain3;boxed|cov3|hp_repeat3|vstr2|perm2|hidden3v|double_mirror|set_chain3,set_chain3|draw_chain4|col1x2|hot1x2|vstrx3|dblmirrorx13
Combined,466,19,38.5,17.5,1,4,1,4,4,0,0,5,7,7,straight|cov1|hp_repeat2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|double_mirror|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5|dblmirrorx7
Combined,24466,22,38,21.5,1,3,1,4,3,0,0,6,0,9,boxed|cov3|hp_repeat4|hot2|perm3|hidden3v|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4|vstrx6
Combined,24467,22,37,25.5,1,2,0,4,2,0,0,1,0,4,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4|hidden3v|draw_chain2;boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4|hidden3v|draw_chain2,draw_chain2|col1x2|hot2x4|vstrx1
Combined,446677,22,37,19.5,1,4,1,4,4,0,0,5,0,7,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain4;boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,44677,22,37,18.5,1,4,1,4,4,0,0,7,0,7,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx7
Combined,669,19,36.5,18.5,1,4,1,3,3,0,0,6,6,6,straight|cov2|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4;straight|cov1|hp_repeat2|hot2|hidden3v|double_mirror|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x3|vstrx6|dblmirrorx6
Combined,44667,22,36,18.5,1,4,1,4,4,0,0,5,0,7,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain4;boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,2447,28,34.5,18.5,1,4,1,4,3,0,0,4,0,5,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov1|mirror|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x4|vstrx4
Combined,2466,22,34.5,17.5,1,3,1,4,3,0,0,7,0,9,boxed|cov2|hp_repeat4|hot2|perm2|hidden3v|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x4|vstrx7
Combined,4466,25,34.5,17,1,4,1,4,4,0,0,5,0,7,straight|cov1|hp_repeat2|hot2|vtrac_straight|draw_chain4;boxed|cov2|hp_repeat2|hot2|perm2|draw_chain4,draw_chain4|col1x4|hot1x1|hot2x4|vstrx5
Combined,4488,34,34,25,3,2,4,0,0,0,0,0,0,11,boxed|cov4|hp_repeat3|vstr2|vstr3|hot1|perm2|set_chain3;boxed|cov3|hp_repeat3|vstr2|hot1|perm2|set_chain3,set_chain3|draw_chain2|hot1x4
Combined,688,23,34,23,3,3,1,0,0,0,0,0,9,9,boxed|cov4|hp_repeat3|vstr2|hot1|perm2|double_mirror|set_chain3|draw_chain3;boxed|cov4|hp_repeat3|vstr2|perm2|double_mirror|set_chain3|draw_chain3,set_chain3|draw_chain3|hot1x1|dblmirrorx9
Combined,79,12,34,20.5,1,5,2,2,2,0,0,6,0,10,straight|cov2|hp_repeat2|vstr2|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov2|hp_repeat3|vstr2|hot1|hidden3v|vtrac_straight|draw_chain4,draw_chain5|col1x2|hot1x2|hot2x2|vstrx6
Combined,247,28,33.5,17.5,1,4,1,4,3,0,0,4,0,5,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov1|mirror|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x4|vstrx4
Combined,2446677,22,32.5,26.5,1,1,0,2,1,0,0,1,0,2,boxed|cov4|hp_repeat2|mirror|hot2|dom_last|perm4|hidden3v;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx1
Combined,559,5,32.5,25,3,1,0,0,0,0,0,0,6,6,straight|cov3|vstr2|vstr3|single_left|double_mirror|set_chain3;straight|cov3|hp_repeat3|vstr2|vstr3|double_mirror|set_chain3,set_chain3|draw_chain1|dblmirrorx6
Combined,2449,12,32.5,19.5,1,5,2,2,2,0,0,5,0,10,boxed|cov2|hp_repeat3|mirror|hot2|perm2|hidden3v|draw_chain4;straight|cov1|hp_repeat3|mirror|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain5|col1x2|hot1x2|hot2x2|vstrx5
Combined,244669,22,32,19.5,1,3,1,3,2,0,0,4,0,5,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3;boxed|cov3|mirror|hot2|perm3|hidden3v|draw_chain3,draw_chain3|col1x2|hot1x1|hot2x3|vstrx4
Combined,2669,22,32,17.5,1,4,1,3,3,0,0,5,0,6,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain4;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x3|vstrx5
Combined,779,12,31.5,20.5,1,3,1,2,2,0,0,5,0,6,straight|cov2|hp_repeat2|vstr2|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov2|hp_repeat2|vstr2|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x2|hot1x1|hot2x2|vstrx5
Combined,788,29,31.5,20,3,2,2,0,0,0,0,0,9,9,boxed|cov3|hp_repeat4|vstr2|hot1|perm2|double_mirror|set_chain3;boxed|cov3|hp_repeat4|vstr2|perm2|double_mirror|set_chain3,set_chain3|draw_chain2|hot1x2|dblmirrorx9
Combined,44669,9,31.5,19.5,1,3,1,2,3,0,0,5,0,5,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx5
Combined,24669,22,31,18.5,1,3,1,3,2,0,0,4,0,5,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x2|hot1x1|hot2x3|vstrx4
Combined,4669,9,30.5,18.5,1,3,1,2,3,0,0,5,0,5,straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx5
Combined,69,9,30.5,16.5,1,6,2,2,3,0,0,4,0,11,boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain5;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain5,draw_chain6|col1x3|hot1x2|hot2x2|vstrx4
Combined,678,21,30,21,3,4,3,0,0,0,0,0,0,13,boxed|cov3|hp_repeat4|hot1|perm3|set_chain3|draw_chain4;straight|cov1|hp_repeat4|hot1|set_chain3|draw_chain4,set_chain3|draw_chain4|hot1x3
Combined,599,15,29.5,25.5,2,1,0,0,0,0,0,1,2,2,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|set_chain2;straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|set_chain2,set_chain2|draw_chain1|vstrx1|dblmirrorx2
Combined,224,28,29.5,24.5,1,3,0,0,1,0,0,1,4,4,straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|vtrac_straight|draw_chain2;straight|cov3|vstr2|vstr3|single_left|hidden3v|double_mirror|draw_chain2,draw_chain3|col1x1|vstrx1|dblmirrorx4
Combined,677,7,29,17.5,1,3,1,2,2,0,0,6,0,6,straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3;straight|cov1|hp_repeat3|hot2|hidden3v|vtrac_straight|draw_chain3,draw_chain3|col1x2|hot1x1|hot2x2|vstrx6
Combined,669,9,28.5,16.5,1,4,1,2,3,0,0,4,0,7,boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain4;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain4,draw_chain4|col1x3|hot1x1|hot2x2|vstrx4
Combined,446,9,28.5,15.5,1,4,3,2,2,0,0,4,0,6,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain4|col1x2|hot1x3|hot2x2|vstrx4
Combined,4478,30,28,20,2,2,5,0,0,0,0,0,0,11,boxed|cov4|hp_repeat4|hot1|perm4|set_chain2;boxed|cov2|hp_repeat4|hot1|perm2|set_chain2|draw_chain2,set_chain2|draw_chain2|hot1x5
Combined,2244,28,27.5,24.5,1,3,0,0,1,0,0,1,0,4,straight|cov3|vstr2|vstr3|single_left|hidden3v|vtrac_straight|draw_chain2;straight|cov3|vstr2|vstr3|single_left|hidden3v|draw_chain2,draw_chain3|col1x1|vstrx1
Combined,344,34,27.5,17,3,3,0,0,0,0,0,2,8,8,boxed|cov3|hp_repeat2|vstr2|perm2|double_mirror|set_chain3;straight|cov2|hp_repeat2|vstr2|double_mirror|set_chain3,set_chain3|draw_chain3|vstrx2|dblmirrorx8
Combined,46,9,27.5,14.5,1,4,3,2,2,0,0,4,0,6,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain4|col1x2|hot1x3|hot2x2|vstrx4
Combined,6677,7,27,17.5,1,3,1,2,2,0,0,2,0,6,boxed|cov2|hp_repeat3|hot2|perm2|hidden3v|draw_chain3;boxed|cov2|hp_repeat3|hot2|perm2|hidden3v|draw_chain3,draw_chain3|col1x2|hot1x1|hot2x2|vstrx2
Combined,6788,21,26.5,20,3,3,1,0,0,0,0,0,0,9,boxed|cov3|hp_repeat3|hot1|perm3|set_chain3|draw_chain3;boxed|cov3|hp_repeat3|perm3|set_chain3|draw_chain3,set_chain3|draw_chain3|hot1x1
Combined,4466,9,26.5,16.5,1,3,1,2,3,0,0,1,0,5,boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain3;boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx1
Combined,244667,22,25.5,19.5,1,1,0,2,1,0,0,1,0,2,boxed|cov3|hp_repeat2|mirror|hot2|perm3|hidden3v;straight|cov1|hp_repeat2|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx1
Combined,889,33,25.5,17,3,2,0,0,0,0,0,0,7,7,straight|cov2|hp_repeat3|vstr2|double_mirror|set_chain3;straight|cov2|hp_repeat2|vstr2|double_mirror|set_chain3,set_chain3|draw_chain2|dblmirrorx7
Combined,466,9,25.5,15.5,1,3,1,2,3,0,0,1,0,5,boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain3;boxed|cov2|hp_repeat2|hot2|perm2|hidden3v|draw_chain3,draw_chain3|col1x3|hot1x1|hot2x2|vstrx1
Combined,667,7,25.5,15.5,1,2,1,2,2,0,0,4,0,4,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|hot2x2|vstrx4
Combined,44788,30,25,20,2,2,2,0,0,0,0,0,0,8,boxed|cov4|hp_repeat3|hot1|perm4|set_chain2;boxed|cov3|hp_repeat3|perm3|set_chain2,set_chain2|draw_chain2|hot1x2
Combined,388,32,24.5,18,3,1,0,0,0,0,0,0,4,4,boxed|cov3|hp_repeat2|vstr2|mirror|perm2|double_mirror|set_chain3;boxed|cov3|hp_repeat2|vstr2|mirror|perm2|double_mirror|set_chain3,set_chain3|draw_chain1|dblmirrorx4
Combined,24469,22,24.5,17.5,1,2,1,2,0,0,0,2,0,3,boxed|cov3|hp_repeat2|mirror|hot2|perm3|hidden3v|draw_chain2;straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot1x1|hot2x2|vstrx2
Combined,2467,22,24.5,15.5,1,2,0,3,2,0,0,0,0,3,boxed|cov2|hp_repeat2|mirror|hot2|perm2|hidden3v|draw_chain2;boxed|cov2|mirror|hot2|perm2|hidden3v|draw_chain2,draw_chain2|col1x2|hot2x3
Combined,24466779,22,24,21.5,1,1,0,1,0,0,0,0,0,1,boxed|cov4|mirror|hot2|perm4|hidden3v,draw_chain1|hot2x1
Combined,24499,31,24,19.5,1,2,0,1,0,0,0,3,0,3,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov2|vstr2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Combined,259,12,23.5,18.5,1,3,1,0,2,0,0,1,0,4,boxed|cov3|hp_repeat2|vstr2|hot1|dom_last|perm2|hidden3v|draw_chain2;boxed|cov3|vstr2|perm2|hidden3v|draw_chain2,draw_chain3|col1x2|hot1x1|vstrx1
Combined,779,28,23.5,17.5,2,1,0,1,0,0,0,1,2,2,straight|cov2|vstr2|hot2|hidden3v|double_mirror|vtrac_straight|set_chain2;straight|cov1|hidden3v|double_mirror|set_chain2,set_chain2|draw_chain1|hot2x1|vstrx1|dblmirrorx2
Combined,267,20,23.5,14.5,1,2,0,3,2,0,0,0,0,3,boxed|cov2|hp_repeat2|mirror|hot2|perm2|hidden3v|draw_chain2;boxed|cov2|mirror|hot2|perm2|hidden3v|draw_chain2,draw_chain2|col1x2|hot2x3
Combined,2499,31,23,18.5,1,2,0,1,0,0,0,3,0,3,straight|cov2|hp_repeat2|vstr2|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov2|vstr2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx3
Combined,344688,24,22.5,18,3,1,0,0,0,0,0,0,0,3,boxed|cov3|mirror|perm3|set_chain3;boxed|cov3|mirror|perm3|set_chain3,set_chain3|draw_chain1
Combined,24479,12,22.5,16.5,1,2,1,1,1,0,0,2,0,2,straight|cov1|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|mirror|hot1|hidden3v|vtrac_straight,draw_chain2|col1x1|hot1x1|hot2x1|vstrx2
Combined,3447,30,22.5,16,3,3,0,0,0,0,0,2,0,8,straight|cov1|hp_repeat2|vtrac_straight|set_chain3|draw_chain3;straight|cov1|vtrac_straight|set_chain3|draw_chain3,set_chain3|draw_chain3|vstrx2
Combined,4455889,14,22,20,2,0,0,0,0,0,0,0,0,2,boxed|cov4|mirror|perm4|set_chain2;boxed|cov3|mirror|perm3|set_chain2,set_chain2
Combined,244679,22,22,19.5,1,1,0,1,0,0,0,0,0,1,boxed|cov4|mirror|hot2|perm4|hidden3v,draw_chain1|hot2x1
Combined,44588,14,22,19,2,0,1,0,0,0,0,0,0,4,boxed|cov4|hp_repeat2|hot1|perm4|set_chain2;boxed|cov3|hp_repeat2|perm3|set_chain2,set_chain2|hot1x1
Combined,368,23,22,17,3,2,0,0,0,0,0,0,0,5,boxed|cov3|hp_repeat2|mirror|perm3|set_chain3|draw_chain2;straight|cov1|hp_repeat2|mirror|set_chain3|draw_chain2,set_chain3|draw_chain2
Combined,46677,22,22,15.5,1,1,0,2,1,0,0,2,0,2,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx2
Combined,7799,12,21.5,17.5,1,2,0,1,0,0,0,2,0,2,straight|cov2|vstr2|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx2
Combined,244779,12,21.5,17.5,1,1,0,1,1,0,0,1,0,1,straight|cov1|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x1|vstrx1
Combined,34688,24,21.5,17,3,1,0,0,0,0,0,0,0,3,boxed|cov3|mirror|perm3|set_chain3;boxed|cov3|mirror|perm3|set_chain3,set_chain3|draw_chain1
Combined,3688,23,21.5,17,3,1,0,0,0,0,0,0,0,4,boxed|cov3|hp_repeat2|mirror|perm3|set_chain3;boxed|cov3|mirror|perm3|set_chain3,set_chain3|draw_chain1
Combined,299,31,21.5,16.5,1,2,0,1,0,0,0,1,3,3,boxed|cov3|hp_repeat2|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain2;straight|cov2|vstr2|hidden3v|double_mirror|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx1|dblmirrorx3
Combined,445669,9,21.5,16.5,1,2,1,0,2,0,0,2,0,2,straight|cov1|mirror|hot1|hidden3v|vtrac_straight|draw_chain2;straight|cov1|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|vstrx2
Combined,2479,12,21.5,15.5,1,2,1,1,1,0,0,2,0,2,straight|cov1|mirror|hot2|hidden3v|vtrac_straight;straight|cov1|mirror|hot1|hidden3v|vtrac_straight,draw_chain2|col1x1|hot1x1|hot2x1|vstrx2
Combined,699,25,21.5,14,2,2,0,1,0,0,0,2,3,3,straight|cov1|hot2|double_mirror|vtrac_straight|set_chain2|draw_chain2;straight|cov1|double_mirror|vtrac_straight|set_chain2|draw_chain2,set_chain2|draw_chain2|hot2x1|vstrx2|dblmirrorx3
Combined,5599,5,21,21,1,0,0,0,0,0,0,0,0,1,straight|cov3|vstr2|vstr3|single_left,
Combined,24459,12,21,17.5,1,2,1,0,1,0,0,1,0,2,straight|cov2|vstr2|mirror|hot1|hidden3v|vtrac_straight;straight|cov2|vstr2|mirror|hidden3v,draw_chain2|col1x1|hot1x1|vstrx1
Combined,99,15,21,16.5,1,2,0,1,0,0,0,0,3,3,boxed|cov3|hp_repeat2|vstr2|hot2|perm2|hidden3v|double_mirror|draw_chain2;boxed|cov3|hp_repeat2|vstr2|perm2|hidden3v|double_mirror|draw_chain2,draw_chain2|hot2x1|dblmirrorx3
Combined,5779,12,21,15.5,1,2,1,0,2,0,0,3,0,3,straight|cov1|hp_repeat2|mirror|hot1|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hp_repeat2|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|col1x2|hot1x1|vstrx3
Combined,2445,12,21,14.5,1,4,1,0,2,0,0,3,0,6,boxed|cov3|hp_repeat2|vstr2|perm2|hidden3v|draw_chain2;straight|cov1|hp_repeat2|hot1|hidden3v|vtrac_straight|draw_chain2,draw_chain4|col1x2|hot1x1|vstrx3
Combined,4667,22,21,14.5,1,1,0,2,1,0,0,2,0,2,straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight;straight|cov1|hp_repeat2|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x2|vstrx2
Combined,244677,22,20.5,16.5,1,1,0,1,1,0,0,1,0,1,straight|cov1|mirror|hot2|hidden3v|vtrac_straight,draw_chain1|col1x1|hot2x1|vstrx1
Combined,446699,9,20.5,16.5,1,2,0,1,0,0,0,2,0,2,straight|cov1|mirror|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|mirror|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx2
Combined,799,12,20.5,16.5,1,2,0,1,0,0,0,2,0,2,straight|cov2|vstr2|hot2|hidden3v|vtrac_straight|draw_chain2;straight|cov1|hidden3v|vtrac_straight|draw_chain2,draw_chain2|hot2x1|vstrx2
