section,Set,Draw,Column,family_id,rows_cov,perm_count_in_box,repeat_extras_in_box,horizontal_persistence_repeat,hot_density,any_straight2,any_straight3,any_consensus,any_dom_last,any_doubles_support,any_vtrac_straight,any_hidden3v,max_persistence_set,max_persistence_draw,persistence_set_count,persistence_draw_run,hidden3v_hits,hot1_count,hot2_count,consensus_hits,top_canonicals,top_modal_orders,fam_cov,fam_hpr,fam_perm,fam_repeat,fam_cons,fam_hot,fam_straight2,fam_straight3,fam_doubles,fam_vtrac,fam_hidden,fam_double_mirror,fam_persistence,fam_section_bonus,fam_progression_bonus,fam_last_remaining_bonus,family_score,best_compound_score,section_count,progression_flag,last_remaining_3v
Evening,Set2,Draw1,6,12,3,2,0.0,5,0.0,False,False,False,False,False,False,True,3,1,3,1,12,0,0,0,224599:1;2245:1;2245599:1,599224:1;2245:1;5599224:1,6,5,1,0.0,0,0,0,0,0,0,0.5,0,4,1,1,0.0,18.5,58.5,2,True,False
Evening,Set1,Draw5,1,12,3,2,0.0,3,1.0,False,False,False,False,False,True,True,1,6,1,6,12,0,12,0,02249:1;002249:1;0022499:1,92240:1;922400:1;9922400:1,6,3,1,0.0,0,1,0,0,0,1,0.5,0,5,1,0,0.0,18.5,58.5,2,False,False
Evening,Set1,Draw5,2,12,3,2,0.0,3,1.0,False,False,False,False,False,True,True,1,6,1,6,12,0,12,0,02249:1;002249:1;0022499:1,92240:1;922400:1;9922400:1,6,3,1,0.0,0,1,0,0,0,1,0.5,0,5,1,0,0.0,18.5,58.5,2,False,False
Evening,Set1,Draw2,1,12,4,3,0.0,3,1.0,True,False,False,True,False,False,True,1,3,1,3,2,0,2,0,0229:1;029:1,0922:2;092:2,8,3,2,0.0,0,1,2,0,0,0,0.5,0,2,0,0,0.0,18.5,58.5,1,False,False
Evening,Set1,Draw2,2,12,4,3,0.0,3,1.0,True,False,False,False,False,False,True,1,3,1,3,2,0,2,0,0229:1;029:1,0922:2;092:2,8,3,2,0.0,0,1,2,0,0,0,0.5,0,2,0,0,0.0,18.5,58.5,1,False,False
Midday,Set2,Draw1,5,20,3,1,0.0,4,0.0,True,False,False,False,False,False,False,3,1,3,1,0,0,0,0,677:1;226:1,677:2;622:1,6,4,0,0.0,0,0,2,0,0,0,0.0,1,4,0,1,0.0,18.0,38.0,1,True,False
Midday,Set1,Draw3,3,12,1,1,0.0,3,1.0,False,False,False,False,False,True,True,3,3,3,3,1,1,0,0,579:1,759:1,2,3,0,0.0,0,1,0,0,0,1,0.5,0,6,4,0,0.0,17.5,58.5,3,False,False
Evening,Set2,Draw1,5,12,3,2,0.0,5,0.0,False,False,False,False,False,False,True,3,1,3,1,10,0,0,0,22459:1;2245:1;2259:1,59224:1;2245:1;5922:1,6,5,1,0.0,0,0,0,0,0,0,0.5,0,4,0,1,0.0,17.5,58.5,1,True,False
Evening,Set3,Draw1,4,12,3,2,0.0,4,1.0,False,False,False,False,False,False,True,3,1,3,1,5,5,0,0,2259:1;259:1;22459:1,5922:1;592:1;59224:1,6,4,1,0.0,0,1,0,0,0,0,0.5,0,4,0,1,0.0,17.5,58.5,1,True,False
Midday,Set3,Draw1,6,12,3,2,0.0,2,0.0,True,False,False,False,False,False,True,3,1,3,1,8,0,0,0,2259:1;259:1;225779:1,5922:2;592:2;775922:1,6,2,1,0.0,0,0,2,0,0,0,0.5,0,4,1,1,0.0,17.5,58.5,2,True,False
Evening,Set3,Draw1,6,12,3,2,0.0,4,0.0,False,False,False,False,False,False,True,3,1,3,1,7,0,0,0,224599:1;22599:1;2599:1,599224:1;59922:1;5992:1,6,4,1,0.0,0,0,0,0,0,0,0.5,0,4,1,1,0.0,17.5,58.5,2,True,False
Evening,Set3,Draw1,5,12,3,2,0.0,4,0.0,False,False,False,False,False,False,True,3,1,3,1,7,0,0,0,224599:1;22599:1;2599:1,599224:1;59922:1;5992:1,6,4,1,0.0,0,0,0,0,0,0,0.5,0,4,0,1,0.0,16.5,58.5,1,True,False
Midday,Set1,Draw1,3,12,1,1,0.0,4,1.0,False,False,False,False,False,True,True,3,3,3,3,2,0,2,0,579:1;4579:1,759:1;7594:1,2,4,0,0.0,0,1,0,0,0,1,0.5,0,6,1,0,0.0,15.5,58.5,2,False,False
Midday,Set1,Draw3,4,12,1,1,0.0,3,0.0,False,False,False,False,False,False,True,3,3,3,3,1,0,0,0,579:1,759:1,2,3,0,0.0,0,0,0,0,0,0,0.5,0,6,4,0,0.0,15.5,58.5,3,False,False
Midday,Set1,Draw2,3,12,1,1,0.0,4,1.0,False,False,False,False,False,True,True,3,3,3,3,1,1,0,0,579:1,759:1,2,4,0,0.0,0,1,0,0,0,1,0.5,0,6,1,0,0.0,15.5,58.5,2,False,False
Midday,Set3,Draw1,6,20,2,1,0.0,5,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,226:1;677:1,622:1;677:1,4,5,0,0.0,0,0,0,0,0,0,0.0,1,4,0,1,0.0,15.0,38.0,1,True,False
Midday,Set2,Draw1,7,20,2,1,0.0,4,0.0,False,False,False,False,False,False,False,3,1,3,1,0,0,0,0,226:1;677:1,622:1;677:1,4,4,0,0.0,0,0,0,0,0,0,0.0,1,4,1,1,0.0,15.0,38.0,2,True,False
Midday,Set1,Draw1,4,12,1,1,0.0,4,1.0,False,False,False,False,False,False,True,3,3,3,3,2,2,0,0,579:1;4579:1,759:1;7594:1,2,4,0,0.0,0,1,0,0,0,0,0.5,0,6,1,0,0.0,14.5,58.5,2,False,False
Combined,Set3,Draw1,7,12,3,2,0.0,1,0.0,False,False,False,False,False,False,True,2,1,2,1,17,0,0,0,0022459:1;022459:1;002249:1,5922400:1;592240:1;922400:1,6,1,1,0.0,0,0,0,0,0,0,0.5,0,2,4,0,0.0,14.5,58.5,3,False,False
Midday,Set1,Draw6,1,12,2,1,0.0,2,1.0,False,False,False,False,False,True,True,1,3,1,3,2,2,0,0,005579:1;0079:1,700559:1;7009:1,4,2,0,0.0,0,1,0,0,0,1,0.5,0,2,4,0,0.0,14.5,58.5,3,False,False
Midday,Set1,Draw2,4,12,1,1,0.0,4,1.0,False,False,False,False,False,False,True,3,3,3,3,1,1,0,0,579:1,759:1,2,4,0,0.0,0,1,0,0,0,0,0.5,0,6,1,0,0.0,14.5,58.5,2,False,False
