date,state,section,overlap,stable_cols_count,stable_cols,consensus_col1,consensus_col2,cross_section_echo,hot_count,superhot_count,mask_drop,mirror_supported,double_hits,confidence_score,tier,flags,top_tokens,recommended_tokens,top_straights,section_prior,state_prior,why,source
,Ohio4,Evening,1,1,[1],false,false,0,8,12,14,true,361,14.798,C,[],"[""V1x1_2x1_4x1""]","[""V1x1_2x1_4x1""]","[""506"",""906"",""605""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=2.400*1.90->4.56; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.667*0.80->0.53; mirror=1.000*0.60->0.60; doubles=0.330*0.40->0.13; recency_lane=1.000*1.50->1.50; vt_lane_rescue=0.700*1.20->0.84; winner_lane_rescue=1.400*2.50->3.50; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Ohio4,Combined,3,4,"[4,3,2,1]",false,false,0,8,12,15,true,424,24.054,B+,[],"[""V1x3"",""V1x3_2x1_3x1"",""V1x3_2x1""]","[""V1x3"",""V1x3_2x1"",""V1x3_2x1_3x1""]","[""506"",""906"",""605""]",1.15,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,OntarioCanada4,Midday,4,5,"[5,4,3,2,1]",false,false,0,8,12,18,true,538,21.649,A,[],"[""V3x2_4x1"",""V4x3_2x2_3x2"",""V3x2_2x1_4x1"",""V3x2_1x1""]","[""V3x2_2x1_4x1"",""V3x2_1x1"",""V3x2_4x1""]","[""183"",""813"",""924""]",1.0,1.0,overlap=1.609*1.00->1.61; stable=8.000*1.90->15.20; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,OntarioCanada4,Evening,2,4,"[4,3,2,1]",false,false,0,8,12,18,true,593,19.584,B,[],"[""V2x2_4x2_5x1"",""V2x2_4x2_5x2""]","[""V2x2_4x2_5x1"",""V2x2_4x2_5x2""]","[""183"",""813"",""924""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; doubles=0.387*0.40->0.15; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,OntarioCanada4,Combined,2,3,"[3,2,1]",false,false,0,8,12,19,true,680,21.319,B,[],"[""V1x2_4x1"",""V1x2_4x2_2x1""]","[""V1x2_4x1"",""V1x2_4x2_2x1""]","[""183"",""813"",""924""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Pennsylvania4,Midday,1,3,"[3,2,1]",false,false,0,8,12,16,true,242,21.893,C,[],"[""V1x1_3x1_4x1""]","[""V1x1_3x1_4x1""]","[""617"",""167"",""016""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; vt_lane_rescue=0.800*1.20->0.96; winner_lane_rescue=1.600*2.50->4.00; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Pennsylvania4,Evening,3,3,"[3,2,1]",false,false,0,8,12,18,true,306,18.588,B+,[],"[""V4x3_2x2_3x1"",""V4x2_2x1"",""V4x2_1x1""]","[""V4x2_1x1"",""V4x2_2x1"",""V4x3_2x2_3x1""]","[""186"",""681"",""187""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.405*0.40->0.16; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Pennsylvania4,Combined,2,3,"[3,2,1]",false,false,0,8,12,17,true,400,20.859,B,[],"[""V1x1_3x1_5x1"",""V3x1_4x1_5x1""]","[""V1x1_3x1_5x1"",""V3x1_4x1_5x1""]","[""186"",""681"",""187""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.500*0.80->0.40; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,SouthCarolina4,Midday,3,4,"[4,3,2,1]",false,false,0,8,12,5,true,352,19.716,B+,[],"[""V1x2_2x1_4x1"",""V1x3_2x1_4x1"",""V1x2_4x1""]","[""V1x2_4x1"",""V1x2_2x1_4x1"",""V1x3_2x1_4x1""]","[""138"",""831"",""198""]",1.0,1.0,overlap=1.386*1.00->1.39; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,SouthCarolina4,Evening,1,2,"[2,1]",false,false,0,8,12,11,true,497,19.957,C,[],"[""V1x1_2x1_4x1""]","[""V1x1_2x1_4x1""]","[""138"",""831"",""198""]",1.0,1.0,overlap=0.693*1.00->0.69; stable=4.400*1.90->8.36; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; doubles=0.759*0.40->0.30; recency_lane=1.200*1.50->1.80; vt_lane_rescue=0.800*1.20->0.96; winner_lane_rescue=1.600*2.50->4.00; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,SouthCarolina4,Combined,3,3,"[3,2,1]",false,false,0,8,12,10,true,543,21.497,B+,[],"[""V1x2_2x2_4x2"",""V1x2_2x2_4x1"",""V2x2_1x1_4x1""]","[""V1x2_2x2_4x1"",""V1x2_2x2_4x2"",""V2x2_1x1_4x1""]","[""138"",""831"",""198""]",1.15,1.0,overlap=1.386*1.00->1.39; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.833*0.80->0.67; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
,Virginia4,Midday,2,4,"[4,3,2,1]",false,false,0,8,12,19,true,666,20.229,B,[],"[""V2x4_4x2_3x1"",""V2x2_4x2_3x1""]","[""V2x2_4x2_3x1"",""V2x4_4x2_3x1""]","[""136"",""613"",""617""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=7.100*1.90->13.49; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=1.000*0.80->0.80; mirror=1.000*0.60->0.60; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Virginia4,Evening,2,3,"[3,2,1]",false,false,0,8,12,17,true,900,17.964,B,[],"[""V3x2_2x1_5x1"",""V2x2_3x2_5x1""]","[""V2x2_3x2_5x1"",""V3x2_2x1_5x1""]","[""712"",""217"",""136""]",1.0,1.0,overlap=1.099*1.00->1.10; stable=6.000*1.90->11.40; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mask_drop=0.333*0.80->0.27; mirror=1.000*0.60->0.60; doubles=0.897*0.40->0.36; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.00,validation_report.json
,Virginia4,Combined,2,5,"[5,4,3,2,1]",false,false,0,8,12,16,true,927,24.769,B,[],"[""V3x4_2x1_5x1"",""V3x4_2x2_5x1""]","[""V3x4_2x1_5x1"",""V3x4_2x2_5x1""]","[""712"",""217"",""136""]",1.15,1.0,overlap=1.099*1.00->1.10; stable=8.000*1.90->15.20; hot=1.000*0.40->0.40; superhot=1.000*0.60->0.60; mirror=1.000*0.60->0.60; doubles=1.000*0.40->0.40; recency_lane=1.200*1.50->1.80; straight_lane=1.800*0.80->1.44; section_prior=1.15,validation_report.json
